spend_id,date,campaign_id,channel,utm_source,utm_medium,utm_campaign,impressions,clicks,ad_spend,currency
SP000063,2021-11-22,2,Email,email,email,campaign_02,63,3,10.0,USD
SP000064,2021-11-23,2,Email,email,email,campaign_02,104,4,10.0,USD
SP000065,2021-11-24,2,Email,email,email,campaign_02,43,2,10.0,USD
SP000066,2021-11-25,2,Email,email,email,campaign_02,56,3,10.0,USD
SP000067,2021-11-26,2,Email,email,email,campaign_02,64,3,10.0,USD
SP000068,2021-11-27,2,Email,email,email,campaign_02,113,4,10.0,USD
SP000069,2021-11-28,2,Email,email,email,campaign_02,169,7,10.0,USD
SP000070,2021-11-29,2,Email,email,email,campaign_02,24,1,10.0,USD
SP000071,2021-11-30,2,Email,email,email,campaign_02,40,2,10.0,USD
SP000072,2021-12-01,2,Email,email,email,campaign_02,45,2,10.0,USD
SP000073,2021-12-02,2,Email,email,email,campaign_02,133,5,10.0,USD
SP000074,2021-12-03,2,Email,email,email,campaign_02,45,2,10.0,USD
SP000075,2021-12-04,2,Email,email,email,campaign_02,44,2,10.0,USD
SP000076,2021-12-05,2,Email,email,email,campaign_02,164,7,10.0,USD
SP000077,2021-12-06,2,Email,email,email,campaign_02,49,2,10.0,USD
SP000078,2021-12-07,2,Email,email,email,campaign_02,18,1,10.0,USD
SP000079,2021-12-08,2,Email,email,email,campaign_02,103,5,10.0,USD
SP000080,2021-12-09,2,Email,email,email,campaign_02,102,5,10.0,USD
SP000081,2021-12-10,2,Email,email,email,campaign_02,135,6,10.0,USD
SP000082,2021-12-11,2,Email,email,email,campaign_02,24,1,10.0,USD
SP000083,2021-12-12,2,Email,email,email,campaign_02,116,5,10.0,USD
SP000084,2021-12-13,2,Email,email,email,campaign_02,76,3,10.0,USD
SP000085,2021-12-14,2,Email,email,email,campaign_02,77,4,10.0,USD
SP000086,2021-12-15,2,Email,email,email,campaign_02,191,10,10.0,USD
SP000087,2021-12-16,2,Email,email,email,campaign_02,158,7,10.0,USD
SP000088,2021-12-17,2,Email,email,email,campaign_02,156,8,10.0,USD
SP000089,2021-12-18,2,Email,email,email,campaign_02,42,2,10.0,USD
SP000090,2021-12-19,2,Email,email,email,campaign_02,22,1,10.0,USD
SP000091,2021-12-20,2,Email,email,email,campaign_02,51,2,10.0,USD
SP000092,2021-12-21,2,Email,email,email,campaign_02,115,5,10.0,USD
SP000093,2021-12-22,2,Email,email,email,campaign_02,51,2,10.0,USD
SP000094,2021-12-23,2,Email,email,email,campaign_02,163,7,10.0,USD
SP000095,2021-12-24,2,Email,email,email,campaign_02,40,2,10.0,USD
SP000096,2023-10-08,3,Email,email,email,campaign_03,39,2,35.25,USD
SP000097,2023-10-09,3,Email,email,email,campaign_03,72,3,10.0,USD
SP000098,2023-10-10,3,Email,email,email,campaign_03,65,3,10.0,USD
SP000099,2023-10-11,3,Email,email,email,campaign_03,125,5,10.0,USD
SP000100,2023-10-12,3,Email,email,email,campaign_03,65,3,10.0,USD
SP000101,2023-10-13,3,Email,email,email,campaign_03,75,4,10.0,USD
SP000102,2023-10-14,3,Email,email,email,campaign_03,23,1,10.0,USD
SP000103,2023-10-15,3,Email,email,email,campaign_03,142,6,10.0,USD
SP000104,2023-10-16,3,Email,email,email,campaign_03,59,3,10.0,USD
SP000105,2023-10-17,3,Email,email,email,campaign_03,95,4,10.0,USD
SP000106,2023-10-18,3,Email,email,email,campaign_03,45,2,10.0,USD
SP000107,2023-10-19,3,Email,email,email,campaign_03,94,4,10.0,USD
SP000108,2023-10-20,3,Email,email,email,campaign_03,60,3,10.0,USD
SP000109,2023-10-21,3,Email,email,email,campaign_03,162,6,10.0,USD
SP000110,2023-10-22,3,Email,email,email,campaign_03,55,3,10.0,USD
SP000111,2023-10-23,3,Email,email,email,campaign_03,100,4,10.0,USD
SP000112,2023-10-24,3,Email,email,email,campaign_03,86,5,10.0,USD
SP000113,2023-10-25,3,Email,email,email,campaign_03,69,3,10.0,USD
SP000114,2023-10-26,3,Email,email,email,campaign_03,19,1,10.0,USD
SP000115,2023-10-27,3,Email,email,email,campaign_03,68,3,10.0,USD
SP000116,2023-10-28,3,Email,email,email,campaign_03,43,2,10.0,USD
SP000117,2023-10-29,3,Email,email,email,campaign_03,68,3,10.0,USD
SP000118,2023-10-30,3,Email,email,email,campaign_03,114,5,10.0,USD
SP000119,2023-10-31,3,Email,email,email,campaign_03,65,3,10.0,USD
SP000120,2023-11-01,3,Email,email,email,campaign_03,42,2,10.0,USD
SP000121,2023-11-02,3,Email,email,email,campaign_03,131,6,10.0,USD
SP000122,2023-11-03,3,Email,email,email,campaign_03,66,3,10.0,USD
SP000123,2023-11-04,3,Email,email,email,campaign_03,72,3,10.0,USD
SP000124,2023-11-05,3,Email,email,email,campaign_03,112,5,10.0,USD
SP000125,2023-11-06,3,Email,email,email,campaign_03,38,2,10.0,USD
SP000126,2023-11-07,3,Email,email,email,campaign_03,144,6,10.0,USD
SP000127,2023-11-08,3,Email,email,email,campaign_03,22,1,10.0,USD
SP000128,2023-11-09,3,Email,email,email,campaign_03,60,3,10.0,USD
SP000129,2023-11-10,3,Email,email,email,campaign_03,85,4,10.0,USD
SP000130,2023-11-11,3,Email,email,email,campaign_03,61,3,10.0,USD
SP000131,2023-11-12,3,Email,email,email,campaign_03,125,5,10.0,USD
SP000132,2023-11-13,3,Email,email,email,campaign_03,87,4,10.0,USD
SP000133,2023-11-14,3,Email,email,email,campaign_03,92,4,10.0,USD
SP000134,2023-11-15,3,Email,email,email,campaign_03,68,3,10.0,USD
SP000135,2023-11-16,3,Email,email,email,campaign_03,77,4,10.0,USD
SP000136,2023-11-17,3,Email,email,email,campaign_03,68,3,10.0,USD
SP000137,2023-11-18,3,Email,email,email,campaign_03,65,3,10.0,USD
SP000138,2023-11-19,3,Email,email,email,campaign_03,108,4,10.0,USD
SP000139,2023-11-20,3,Email,email,email,campaign_03,38,2,10.0,USD
SP000140,2023-11-21,3,Email,email,email,campaign_03,41,2,10.0,USD
SP000141,2023-11-22,3,Email,email,email,campaign_03,67,3,10.0,USD
SP000142,2023-11-23,3,Email,email,email,campaign_03,69,3,10.0,USD
SP000143,2023-11-24,3,Email,email,email,campaign_03,84,4,10.0,USD
SP000144,2023-11-25,3,Email,email,email,campaign_03,60,3,10.0,USD
SP000145,2023-11-26,3,Email,email,email,campaign_03,132,7,10.0,USD
SP000146,2023-11-27,3,Email,email,email,campaign_03,62,3,10.0,USD
SP000147,2023-11-28,3,Email,email,email,campaign_03,132,6,10.0,USD
SP000148,2023-11-29,3,Email,email,email,campaign_03,61,3,10.0,USD
SP000149,2023-11-30,3,Email,email,email,campaign_03,21,1,10.0,USD
SP000150,2022-07-25,4,Display,google_display,display,campaign_04,331,4,10.0,USD
SP000151,2022-07-26,4,Display,google_display,display,campaign_04,388,5,10.0,USD
SP000152,2022-07-27,4,Display,google_display,display,campaign_04,311,4,10.0,USD
SP000153,2022-07-28,4,Display,google_display,display,campaign_04,587,7,10.0,USD
SP000154,2022-07-29,4,Display,google_display,display,campaign_04,264,3,10.0,USD
SP000155,2022-07-30,4,Display,google_display,display,campaign_04,235,3,10.0,USD
SP000156,2022-07-31,4,Display,google_display,display,campaign_04,185,2,10.0,USD
SP000157,2022-08-01,4,Display,google_display,display,campaign_04,190,2,10.0,USD
SP000158,2022-08-02,4,Display,google_display,display,campaign_04,242,3,10.0,USD
SP000159,2022-08-03,4,Display,google_display,display,campaign_04,79,1,10.0,USD
SP000160,2022-08-04,4,Display,google_display,display,campaign_04,647,8,10.0,USD
SP000161,2022-08-05,4,Display,google_display,display,campaign_04,482,6,10.0,USD
SP000162,2022-08-06,4,Display,google_display,display,campaign_04,88,1,10.0,USD
SP000163,2022-08-07,4,Display,google_display,display,campaign_04,301,4,10.0,USD
SP000164,2022-08-08,4,Display,google_display,display,campaign_04,489,6,10.0,USD
SP000165,2022-08-09,4,Display,google_display,display,campaign_04,274,3,10.0,USD
SP000166,2022-08-10,4,Display,google_display,display,campaign_04,169,2,10.0,USD
SP000167,2022-08-11,4,Display,google_display,display,campaign_04,303,4,10.0,USD
SP000168,2022-08-12,4,Display,google_display,display,campaign_04,253,3,10.0,USD
SP000169,2022-08-13,4,Display,google_display,display,campaign_04,360,4,10.0,USD
SP000170,2022-08-14,4,Display,google_display,display,campaign_04,408,5,10.0,USD
SP000171,2022-08-15,4,Display,google_display,display,campaign_04,166,2,10.0,USD
SP000172,2022-08-16,4,Display,google_display,display,campaign_04,154,2,10.0,USD
SP000173,2022-08-17,4,Display,google_display,display,campaign_04,395,5,10.0,USD
SP000174,2022-08-18,4,Display,google_display,display,campaign_04,340,4,10.0,USD
SP000175,2022-08-19,4,Display,google_display,display,campaign_04,543,6,10.0,USD
SP000176,2022-08-20,4,Display,google_display,display,campaign_04,238,3,10.0,USD
SP000177,2022-08-21,4,Display,google_display,display,campaign_04,291,3,10.0,USD
SP000178,2022-08-22,4,Display,google_display,display,campaign_04,332,4,10.0,USD
SP000179,2022-08-23,4,Display,google_display,display,campaign_04,319,4,10.0,USD
SP000180,2022-08-24,4,Display,google_display,display,campaign_04,329,4,10.0,USD
SP000181,2022-08-25,4,Display,google_display,display,campaign_04,244,3,10.0,USD
SP000182,2022-08-26,4,Display,google_display,display,campaign_04,359,4,10.0,USD
SP000183,2022-08-27,4,Display,google_display,display,campaign_04,385,5,10.0,USD
SP000184,2022-08-28,4,Display,google_display,display,campaign_04,287,3,10.0,USD
SP000185,2022-08-29,4,Display,google_display,display,campaign_04,652,6,10.0,USD
SP000186,2022-08-30,4,Display,google_display,display,campaign_04,310,4,10.0,USD
SP000187,2022-08-31,4,Display,google_display,display,campaign_04,327,4,10.0,USD
SP000188,2022-09-01,4,Display,google_display,display,campaign_04,368,5,10.0,USD
SP000189,2022-09-02,4,Display,google_display,display,campaign_04,181,2,10.0,USD
SP000190,2022-09-03,4,Display,google_display,display,campaign_04,252,3,10.0,USD
SP000191,2022-09-04,4,Display,google_display,display,campaign_04,165,2,10.0,USD
SP000192,2022-09-05,4,Display,google_display,display,campaign_04,532,6,10.0,USD
SP000193,2022-09-06,4,Display,google_display,display,campaign_04,366,4,10.0,USD
SP000194,2022-09-07,4,Display,google_display,display,campaign_04,77,1,10.0,USD
SP000195,2022-09-08,4,Display,google_display,display,campaign_04,532,6,10.0,USD
SP000196,2022-09-09,4,Display,google_display,display,campaign_04,187,2,10.0,USD
SP000197,2022-09-10,4,Display,google_display,display,campaign_04,160,2,10.0,USD
SP000198,2022-09-11,4,Display,google_display,display,campaign_04,484,6,10.0,USD
SP000199,2022-09-12,4,Display,google_display,display,campaign_04,221,3,10.0,USD
SP000200,2022-09-13,4,Display,google_display,display,campaign_04,98,1,10.0,USD
SP000201,2022-09-14,4,Display,google_display,display,campaign_04,172,2,10.0,USD
SP000202,2022-09-15,4,Display,google_display,display,campaign_04,80,1,10.0,USD
SP000203,2022-09-16,4,Display,google_display,display,campaign_04,483,6,10.0,USD
SP000204,2022-09-17,4,Display,google_display,display,campaign_04,138,2,10.0,USD
SP000205,2022-09-18,4,Display,google_display,display,campaign_04,656,8,10.0,USD
SP000206,2022-09-19,4,Display,google_display,display,campaign_04,182,2,10.0,USD
SP000207,2022-09-20,4,Display,google_display,display,campaign_04,418,5,10.0,USD
SP000208,2022-09-21,4,Display,google_display,display,campaign_04,273,3,10.0,USD
SP000209,2022-09-22,4,Display,google_display,display,campaign_04,461,5,10.0,USD
SP000210,2022-09-23,4,Display,google_display,display,campaign_04,87,1,10.0,USD
SP000211,2022-09-24,4,Display,google_display,display,campaign_04,327,4,10.0,USD
SP000212,2022-09-25,4,Display,google_display,display,campaign_04,345,4,10.0,USD
SP000213,2022-09-26,4,Display,google_display,display,campaign_04,282,3,10.0,USD
SP000214,2022-09-27,4,Display,google_display,display,campaign_04,132,2,10.0,USD
SP000215,2022-09-28,4,Display,google_display,display,campaign_04,146,2,10.0,USD
SP000216,2022-09-29,4,Display,google_display,display,campaign_04,236,3,10.0,USD
SP000217,2022-09-30,4,Display,google_display,display,campaign_04,254,3,10.0,USD
SP000218,2022-10-01,4,Display,google_display,display,campaign_04,399,5,10.0,USD
SP000219,2022-10-02,4,Display,google_display,display,campaign_04,234,3,10.0,USD
SP000220,2022-10-03,4,Display,google_display,display,campaign_04,723,9,10.0,USD
SP000221,2022-10-04,4,Display,google_display,display,campaign_04,159,2,10.0,USD
SP000222,2022-10-05,4,Display,google_display,display,campaign_04,152,2,10.0,USD
SP000223,2022-10-06,4,Display,google_display,display,campaign_04,172,2,10.0,USD
SP000224,2022-10-07,4,Display,google_display,display,campaign_04,588,6,10.0,USD
SP000225,2022-07-09,5,Social,meta,paid_social,campaign_05,79,3,10.0,USD
SP000226,2022-07-10,5,Social,meta,paid_social,campaign_05,67,2,10.0,USD
SP000227,2022-07-11,5,Social,meta,paid_social,campaign_05,121,4,10.0,USD
SP000228,2022-07-12,5,Social,meta,paid_social,campaign_05,137,5,10.0,USD
SP000229,2022-07-13,5,Social,meta,paid_social,campaign_05,82,3,10.0,USD
SP000230,2022-07-14,5,Social,meta,paid_social,campaign_05,147,5,10.0,USD
SP000231,2022-07-15,5,Social,meta,paid_social,campaign_05,58,2,10.0,USD
SP000232,2022-07-16,5,Social,meta,paid_social,campaign_05,55,2,10.0,USD
SP000233,2022-07-17,5,Social,meta,paid_social,campaign_05,92,3,10.0,USD
SP000234,2022-07-18,5,Social,meta,paid_social,campaign_05,49,2,10.0,USD
SP000235,2022-07-19,5,Social,meta,paid_social,campaign_05,125,4,10.0,USD
SP000236,2022-07-20,5,Social,meta,paid_social,campaign_05,175,6,10.0,USD
SP000237,2022-07-21,5,Social,meta,paid_social,campaign_05,149,5,10.0,USD
SP000238,2022-07-22,5,Social,meta,paid_social,campaign_05,56,2,10.0,USD
SP000239,2022-07-23,5,Social,meta,paid_social,campaign_05,25,1,10.0,USD
SP000240,2022-07-24,5,Social,meta,paid_social,campaign_05,126,4,10.0,USD
SP000241,2022-07-25,5,Social,meta,paid_social,campaign_05,55,2,10.0,USD
SP000242,2022-07-26,5,Social,meta,paid_social,campaign_05,134,5,10.0,USD
SP000243,2022-07-27,5,Social,meta,paid_social,campaign_05,286,9,10.64,USD
SP000244,2022-07-28,5,Social,meta,paid_social,campaign_05,80,3,10.0,USD
SP000245,2022-07-29,5,Social,meta,paid_social,campaign_05,27,1,10.0,USD
SP000246,2022-07-30,5,Social,meta,paid_social,campaign_05,47,2,10.0,USD
SP000247,2022-07-31,5,Social,meta,paid_social,campaign_05,118,4,10.0,USD
SP000248,2022-08-01,5,Social,meta,paid_social,campaign_05,223,7,10.0,USD
SP000249,2022-08-02,5,Social,meta,paid_social,campaign_05,232,8,10.64,USD
SP000250,2022-08-03,5,Social,meta,paid_social,campaign_05,27,1,10.0,USD
SP000251,2022-08-04,5,Social,meta,paid_social,campaign_05,100,3,10.0,USD
SP000252,2022-08-05,5,Social,meta,paid_social,campaign_05,419,15,20.18,USD
SP000253,2022-08-06,5,Social,meta,paid_social,campaign_05,195,6,10.0,USD
SP000254,2022-08-07,5,Social,meta,paid_social,campaign_05,24,1,10.0,USD
SP000255,2022-08-08,5,Social,meta,paid_social,campaign_05,149,5,10.0,USD
SP000256,2022-08-09,5,Social,meta,paid_social,campaign_05,131,4,10.0,USD
SP000257,2022-08-10,5,Social,meta,paid_social,campaign_05,211,7,10.0,USD
SP000258,2022-08-11,5,Social,meta,paid_social,campaign_05,28,1,10.0,USD
SP000259,2022-08-12,5,Social,meta,paid_social,campaign_05,54,2,10.0,USD
SP000260,2022-08-13,5,Social,meta,paid_social,campaign_05,51,2,10.0,USD
SP000261,2022-08-14,5,Social,meta,paid_social,campaign_05,31,1,10.0,USD
SP000262,2022-08-15,5,Social,meta,paid_social,campaign_05,53,2,10.0,USD
SP000263,2022-08-16,5,Social,meta,paid_social,campaign_05,137,4,10.0,USD
SP000264,2022-08-17,5,Social,meta,paid_social,campaign_05,127,4,10.0,USD
SP000265,2022-08-18,5,Social,meta,paid_social,campaign_05,33,1,10.0,USD
SP000266,2022-08-19,5,Social,meta,paid_social,campaign_05,31,1,10.0,USD
SP000267,2022-08-20,5,Social,meta,paid_social,campaign_05,80,3,10.0,USD
SP000268,2022-08-21,5,Social,meta,paid_social,campaign_05,122,4,10.0,USD
SP000269,2022-08-22,5,Social,meta,paid_social,campaign_05,120,4,10.0,USD
SP000270,2022-08-23,5,Social,meta,paid_social,campaign_05,111,4,10.0,USD
SP000271,2022-08-24,5,Social,meta,paid_social,campaign_05,55,2,10.0,USD
SP000272,2022-08-25,5,Social,meta,paid_social,campaign_05,268,9,11.09,USD
SP000273,2022-08-26,5,Social,meta,paid_social,campaign_05,128,4,10.0,USD
SP000274,2022-08-27,5,Social,meta,paid_social,campaign_05,172,7,10.0,USD
SP000275,2022-08-28,5,Social,meta,paid_social,campaign_05,60,2,10.0,USD
SP000276,2022-08-29,5,Social,meta,paid_social,campaign_05,88,3,10.0,USD
SP000277,2022-08-30,5,Social,meta,paid_social,campaign_05,175,6,10.0,USD
SP000278,2022-08-31,5,Social,meta,paid_social,campaign_05,108,4,10.0,USD
SP000279,2022-09-01,5,Social,meta,paid_social,campaign_05,134,4,10.0,USD
SP000280,2022-09-02,5,Social,meta,paid_social,campaign_05,24,1,10.0,USD
SP000281,2022-09-03,5,Social,meta,paid_social,campaign_05,30,1,10.0,USD
SP000282,2022-09-04,5,Social,meta,paid_social,campaign_05,108,4,10.0,USD
SP000283,2022-09-05,5,Social,meta,paid_social,campaign_05,98,3,10.0,USD
SP000284,2022-09-06,5,Social,meta,paid_social,campaign_05,84,3,10.0,USD
SP000285,2022-09-07,5,Social,meta,paid_social,campaign_05,48,2,10.0,USD
SP000286,2022-09-08,5,Social,meta,paid_social,campaign_05,49,2,10.0,USD
SP000287,2022-09-09,5,Social,meta,paid_social,campaign_05,27,1,10.0,USD
SP000288,2022-09-10,5,Social,meta,paid_social,campaign_05,94,3,10.0,USD
SP000289,2022-09-11,5,Social,meta,paid_social,campaign_05,127,5,10.0,USD
SP000290,2022-09-12,5,Social,meta,paid_social,campaign_05,34,1,10.0,USD
SP000291,2022-09-13,5,Social,meta,paid_social,campaign_05,188,6,10.0,USD
SP000292,2022-09-14,5,Social,meta,paid_social,campaign_05,202,7,10.0,USD
SP000293,2022-09-15,5,Social,meta,paid_social,campaign_05,136,4,10.0,USD
SP000294,2022-09-16,5,Social,meta,paid_social,campaign_05,151,5,10.0,USD
SP000295,2022-09-17,5,Social,meta,paid_social,campaign_05,79,3,10.0,USD
SP000296,2022-09-18,5,Social,meta,paid_social,campaign_05,154,5,10.0,USD
SP000297,2022-09-19,5,Social,meta,paid_social,campaign_05,132,5,10.0,USD
SP000298,2022-09-20,5,Social,meta,paid_social,campaign_05,23,1,10.0,USD
SP000299,2022-09-21,5,Social,meta,paid_social,campaign_05,83,3,10.0,USD
SP000300,2022-09-22,5,Social,meta,paid_social,campaign_05,106,4,10.0,USD
SP000301,2022-09-23,5,Social,meta,paid_social,campaign_05,25,1,10.0,USD
SP000302,2022-09-24,5,Social,meta,paid_social,campaign_05,239,8,10.0,USD
SP000303,2022-09-25,5,Social,meta,paid_social,campaign_05,132,5,10.0,USD
SP000304,2022-09-26,5,Social,meta,paid_social,campaign_05,30,1,10.0,USD
SP000305,2022-09-27,5,Social,meta,paid_social,campaign_05,83,3,10.0,USD
SP000306,2022-09-28,5,Social,meta,paid_social,campaign_05,104,4,10.0,USD
SP000307,2022-09-29,5,Social,meta,paid_social,campaign_05,62,2,10.0,USD
SP000308,2021-10-20,6,Affiliate,affiliate_network,affiliate,campaign_06,279,6,10.0,USD
SP000309,2021-10-21,6,Affiliate,affiliate_network,affiliate,campaign_06,197,5,10.0,USD
SP000310,2021-10-22,6,Affiliate,affiliate_network,affiliate,campaign_06,32,1,10.0,USD
SP000311,2021-10-23,6,Affiliate,affiliate_network,affiliate,campaign_06,40,1,10.0,USD
SP000312,2021-10-24,6,Affiliate,affiliate_network,affiliate,campaign_06,32,1,10.0,USD
SP000313,2021-10-25,6,Affiliate,affiliate_network,affiliate,campaign_06,79,2,10.0,USD
SP000314,2021-10-26,6,Affiliate,affiliate_network,affiliate,campaign_06,73,2,10.0,USD
SP000315,2021-10-27,6,Affiliate,affiliate_network,affiliate,campaign_06,179,5,10.0,USD
SP000316,2021-10-28,6,Affiliate,affiliate_network,affiliate,campaign_06,159,4,10.0,USD
SP000317,2021-10-29,6,Affiliate,affiliate_network,affiliate,campaign_06,109,3,10.0,USD
SP000318,2021-10-30,6,Affiliate,affiliate_network,affiliate,campaign_06,127,3,10.0,USD
SP000319,2021-10-31,6,Affiliate,affiliate_network,affiliate,campaign_06,265,8,10.05,USD
SP000320,2021-11-01,6,Affiliate,affiliate_network,affiliate,campaign_06,80,2,10.0,USD
SP000321,2021-11-02,6,Affiliate,affiliate_network,affiliate,campaign_06,36,1,10.0,USD
SP000322,2021-11-03,6,Affiliate,affiliate_network,affiliate,campaign_06,36,1,10.0,USD
SP000323,2021-11-04,6,Affiliate,affiliate_network,affiliate,campaign_06,105,3,10.0,USD
SP000324,2021-11-05,6,Affiliate,affiliate_network,affiliate,campaign_06,231,7,10.0,USD
SP000325,2021-11-06,6,Affiliate,affiliate_network,affiliate,campaign_06,184,4,10.0,USD
SP000326,2021-11-07,6,Affiliate,affiliate_network,affiliate,campaign_06,96,3,10.0,USD
SP000327,2021-11-08,6,Affiliate,affiliate_network,affiliate,campaign_06,88,2,10.0,USD
SP000328,2021-11-09,6,Affiliate,affiliate_network,affiliate,campaign_06,131,4,10.0,USD
SP000329,2021-11-10,6,Affiliate,affiliate_network,affiliate,campaign_06,68,2,10.0,USD
SP000330,2021-11-11,6,Affiliate,affiliate_network,affiliate,campaign_06,157,4,10.0,USD
SP000331,2021-11-12,6,Affiliate,affiliate_network,affiliate,campaign_06,37,1,10.0,USD
SP000332,2021-11-13,6,Affiliate,affiliate_network,affiliate,campaign_06,30,1,10.0,USD
SP000333,2021-11-14,6,Affiliate,affiliate_network,affiliate,campaign_06,96,3,10.0,USD
SP000334,2021-11-15,6,Affiliate,affiliate_network,affiliate,campaign_06,132,4,10.0,USD
SP000335,2021-11-16,6,Affiliate,affiliate_network,affiliate,campaign_06,68,2,10.0,USD
SP000336,2021-11-17,6,Affiliate,affiliate_network,affiliate,campaign_06,101,3,10.0,USD
SP000337,2021-11-18,6,Affiliate,affiliate_network,affiliate,campaign_06,168,5,10.0,USD
SP000338,2021-11-19,6,Affiliate,affiliate_network,affiliate,campaign_06,43,1,10.0,USD
SP000339,2021-11-20,6,Affiliate,affiliate_network,affiliate,campaign_06,38,1,10.0,USD
