channel,campaign_id,total_transactions,total_revenue
Email,34,1011,96203.33
Social,38,976,94277.62
Email,20,976,92976.94
Email,50,966,92907.8
Social,41,903,92760.51
Social,24,955,92296.27
Social,48,1012,90985.95
Social,12,952,90658.56
Social,22,915,90653.6
Social,13,960,89644.68
Social,20,906,89636.15
Email,1,923,88476.77
Social,42,890,88332.96
Social,30,918,86966.73
Email,12,941,85614.53
Social,35,903,85158.26
Social,26,906,84719.74
Social,34,893,84318.59
Social,1,847,80997.64
Social,50,857,80794.43
Social,46,820,78454.65
Social,10,832,76978.05
DIRECT,0,678,65726.1
PAID SEARCH,16,66,6560.4
PAID SEARCH,17,71,6495.53
EMAIL,15,48,6262.7
PAID SEARCH,39,61,6020.45
SOCIAL,35,46,5919.23
PAID SEARCH,25,46,5699.9
PAID SEARCH,18,61,5607.24
EMAIL,4,49,5478.92
PAID SEARCH,9,61,5400.66
EMAIL,45,36,5326.45
PAID SEARCH,11,51,5317.29
PAID SEARCH,36,54,5304.43
EMAIL,5,40,5279.26
PAID SEARCH,14,46,5226.0
PAID SEARCH,38,54,5116.5
PAID SEARCH,43,49,5105.74
PAID SEARCH,31,61,5101.51
SOCIAL,3,45,4985.34
SOCIAL,40,43,4982.38
PAID SEARCH,1,41,4958.82
PAID SEARCH,40,58,4931.51
PAID SEARCH,47,48,4880.64
PAID SEARCH,48,46,4860.28
PAID SEARCH,32,54,4854.4
EMAIL,17,49,4829.61
PAID SEARCH,37,49,4818.5
PAID SEARCH,4,57,4783.73
SOCIAL,13,51,4779.87
PAID SEARCH,20,54,4779.22
EMAIL,44,45,4765.67
PAID SEARCH,26,44,4748.3
PAID SEARCH,33,56,4745.9
EMAIL,22,41,4742.64
EMAIL,39,50,4694.42
EMAIL,14,51,4668.19
SOCIAL,18,43,4663.63
SOCIAL,29,49,4558.76
PAID SEARCH,29,52,4554.76
EMAIL,19,46,4539.81
PAID SEARCH,41,48,4516.27
PAID SEARCH,8,49,4409.06
SOCIAL,11,35,4405.63
PAID SEARCH,45,55,4372.63
PAID SEARCH,28,41,4362.14
PAID SEARCH,5,47,4338.06
PAID SEARCH,24,39,4333.21
SOCIAL,23,38,4316.47
EMAIL,9,50,4303.08
SOCIAL,9,42,4276.98
SOCIAL,26,34,4220.41
PAID SEARCH,35,48,4213.54
PAID SEARCH,49,50,4211.94
PAID SEARCH,30,50,4195.58
PAID SEARCH,6,47,4153.73
EMAIL,36,35,4143.17
PAID SEARCH,3,50,4138.24
SOCIAL,45,53,4073.69
PAID SEARCH,12,35,4050.33
PAID SEARCH,10,50,4030.16
EMAIL,18,44,3941.23
EMAIL,21,49,3889.19
EMAIL,40,41,3835.24
SOCIAL,36,39,3807.82
PAID SEARCH,7,45,3798.18
SOCIAL,33,41,3728.9
EMAIL,20,49,3720.81
EMAIL,3,38,3675.54
SOCIAL,27,35,3663.6
PAID SEARCH,23,42,3645.54
SOCIAL,21,38,3624.82
EMAIL,13,42,3610.0
SOCIAL,46,41,3604.62
PAID SEARCH,2,52,3591.57
PAID SEARCH,46,42,3588.66
PAID SEARCH,13,39,3564.82
PAID SEARCH,15,44,3551.81
EMAIL,32,49,3547.78
SOCIAL,17,39,3544.87
PAID SEARCH,42,37,3539.83
EMAIL,29,49,3511.87
PAID SEARCH,19,38,3503.89
SOCIAL,8,36,3477.17
EMAIL,30,35,3463.0
SOCIAL,41,31,3459.51
EMAIL,41,33,3430.01
EMAIL,11,42,3416.14
SOCIAL,1,33,3376.77
SOCIAL,19,34,3366.63
PAID SEARCH,44,43,3324.3
EMAIL,38,30,3310.71
EMAIL,16,33,3290.71
EMAIL,8,42,3210.46
SOCIAL,5,37,3209.27
EMAIL,25,30,3176.94
EMAIL,50,36,3171.44
EMAIL,7,40,3165.89
SOCIAL,30,28,3158.38
SOCIAL,25,39,3151.61
SOCIAL,32,41,3144.25
PAID SEARCH,34,42,3104.45
SOCIAL,49,37,3104.11
SOCIAL,43,37,3090.7
PAID SEARCH,21,31,3085.99
EMAIL,27,24,3060.19
EMAIL,34,32,3028.76
SOCIAL,7,32,2996.1
EMAIL,33,29,2967.59
SOCIAL,22,31,2926.61
SOCIAL,38,23,2897.07
EMAIL,37,31,2866.78
EMAIL,48,38,2865.16
PAID SEARCH,50,29,2848.35
SOCIAL,14,35,2846.94
SOCIAL,4,24,2807.08
SOCIAL,16,32,2780.48
PAID SEARCH,27,39,2773.34
EMAIL,10,31,2751.02
SOCIAL,15,36,2712.09
PAID SEARCH,22,32,2676.32
EMAIL,43,27,2622.76
SOCIAL,42,27,2597.55
SOCIAL,34,28,2572.33
EMAIL,12,29,2569.03
SOCIAL,20,28,2514.33
SOCIAL,47,31,2512.63
EMAIL,23,27,2486.93
SOCIAL,2,36,2484.51
EMAIL,6,30,2475.69
EMAIL,28,31,2461.17
EMAIL,31,32,2445.53
EMAIL,47,33,2411.66
SOCIAL,44,37,2377.04
EMAIL,42,35,2360.6
EMAIL,35,28,2299.29
EMAIL,2,28,2291.57
EMAIL,49,31,2280.26
SOCIAL,10,25,2231.59
EMAIL,24,21,2226.69
SOCIAL,50,23,2216.59
SOCIAL,39,23,2126.17
EMAIL,1,24,2101.75
SOCIAL,28,22,2035.8
SOCIAL,12,24,1981.45
SOCIAL,6,21,1972.01
SOCIAL,37,24,1961.84
SOCIAL,48,22,1897.21
EMAIL,46,29,1888.33
SOCIAL,31,26,1866.94
EMAIL,26,28,1824.38
SOCIAL,24,24,1559.15
