customer_id,traffic_source,campaign_id,attributed_revenue,attribution_model
182,Email,9,533.62,First Touch
186,Display,48,2035.74,First Touch
188,Paid Social,42,1877.5,First Touch
194,Email,25,1005.15,First Touch
199,Display,33,723.2,First Touch
200,Affiliate,28,2003.53,First Touch
201,Paid Social,41,77.44,First Touch
204,Affiliate,17,2181.74,First Touch
211,Email,38,843.33,First Touch
214,Referrals,1,3386.7,First Touch
218,Paid Social,33,0.0,First Touch
225,Paid Search,14,166.91,First Touch
228,Referrals,41,6448.6,First Touch
229,Referrals,9,0.0,First Touch
231,Paid Social,35,0.0,First Touch
236,Paid Search,43,1654.32,First Touch
240,Email,24,0.0,First Touch
243,Paid Social,44,4027.28,First Touch
246,Paid Social,3,0.0,First Touch
247,Display,19,2548.36,First Touch
248,Paid Social,40,0.0,First Touch
250,Display,23,5371.71,First Touch
252,Paid Search,21,3418.86,First Touch
255,Paid Social,39,5774.31,First Touch
257,Paid Search,41,0.0,First Touch
258,Paid Social,7,0.0,First Touch
261,Referrals,21,0.0,First Touch
268,Display,23,4576.08,First Touch
272,Referrals,39,9547.01,First Touch
273,Paid Social,40,1831.25,First Touch
274,Referrals,15,0.0,First Touch
278,Direct,32,2844.23,First Touch
287,Affiliate,37,0.0,First Touch
289,Direct,40,5920.6900000000005,First Touch
290,Direct,17,0.0,First Touch
291,Display,30,0.0,First Touch
292,Email,36,0.0,First Touch
293,Paid Search,43,1779.63,First Touch
301,Paid Search,20,1390.33,First Touch
304,Paid Social,21,0.0,First Touch
307,Direct,50,5796.5,First Touch
308,Direct,24,2017.39,First Touch
309,Affiliate,8,2752.72,First Touch
311,Direct,8,2178.64,First Touch
315,Referrals,33,1351.39,First Touch
316,Direct,19,433.65,First Touch
325,Email,39,1891.28,First Touch
328,Affiliate,27,0.0,First Touch
336,Display,36,1179.66,First Touch
339,Affiliate,40,3804.93,First Touch
341,Paid Search,38,402.04,First Touch
343,Paid Social,7,0.0,First Touch
347,Display,16,293.7,First Touch
353,Direct,23,2472.49,First Touch
354,Display,42,0.0,First Touch
356,Affiliate,9,0.0,First Touch
358,Affiliate,45,3501.76,First Touch
364,Direct,22,4914.88,First Touch
365,Paid Search,36,431.14,First Touch
366,Paid Social,13,0.0,First Touch
368,Direct,39,3654.81,First Touch
369,Paid Search,32,1198.67,First Touch
374,Paid Social,45,2030.43,First Touch
382,Referrals,44,0.0,First Touch
385,Paid Social,32,4753.76,First Touch
387,Email,29,6901.24,First Touch
391,Direct,17,0.0,First Touch
397,Referrals,3,3786.12,First Touch
401,Direct,18,0.0,First Touch
407,Paid Search,25,0.0,First Touch
412,Referrals,43,3538.31,First Touch
415,Email,42,0.0,First Touch
416,Display,34,0.0,First Touch
426,Paid Search,46,0.0,First Touch
432,Referrals,30,0.0,First Touch
434,Email,45,9886.73,First Touch
438,Display,25,7432.25,First Touch
447,Paid Search,34,3393.13,First Touch
449,Paid Social,15,7977.03,First Touch
454,Display,4,823.57,First Touch
456,Affiliate,36,0.0,First Touch
461,Paid Search,37,5122.68,First Touch
468,Affiliate,14,0.0,First Touch
474,Referrals,46,0.0,First Touch
475,Paid Search,47,2145.36,First Touch
481,Referrals,2,1942.48,First Touch
483,Affiliate,40,7166.13,First Touch
491,Referrals,11,0.0,First Touch
497,Affiliate,17,0.0,First Touch
498,Affiliate,32,4021.45,First Touch
502,Direct,30,10316.82,First Touch
505,Referrals,28,493.94,First Touch
511,Referrals,45,1805.74,First Touch
512,Affiliate,28,1337.39,First Touch
515,Affiliate,18,4836.6,First Touch
516,Referrals,14,1200.36,First Touch
517,Direct,23,0.0,First Touch
522,Direct,41,0.0,First Touch
523,Direct,6,0.0,First Touch
526,Paid Social,15,945.37,First Touch
528,Email,23,1752.88,First Touch
529,Paid Social,22,0.0,First Touch
534,Email,42,774.15,First Touch
536,Paid Search,12,2548.43,First Touch
541,Affiliate,13,6858.04,First Touch
547,Email,22,0.0,First Touch
552,Paid Social,23,0.0,First Touch
556,Paid Social,49,0.0,First Touch
558,Affiliate,26,3448.08,First Touch
559,Email,4,4573.86,First Touch
560,Direct,44,4911.6900000000005,First Touch
563,Email,39,3196.08,First Touch
564,Paid Search,15,0.0,First Touch
567,Email,20,1077.17,First Touch
573,Referrals,13,0.0,First Touch
579,Paid Search,31,3726.02,First Touch
582,Referrals,10,4656.42,First Touch
583,Paid Social,5,446.67,First Touch
587,Referrals,38,560.18,First Touch
591,Email,26,2198.21,First Touch
592,Affiliate,8,0.0,First Touch
594,Direct,16,1133.25,First Touch
598,Referrals,39,215.57,First Touch
599,Referrals,47,570.7,First Touch
600,Referrals,27,574.48,First Touch
602,Email,18,12218.85,First Touch
603,Paid Search,50,0.0,First Touch
605,Email,44,0.0,First Touch
608,Email,31,0.0,First Touch
611,Paid Search,9,1055.69,First Touch
612,Display,46,6005.02,First Touch
614,Display,6,1325.85,First Touch
615,Paid Social,1,0.0,First Touch
616,Display,48,0.0,First Touch
618,Paid Search,33,0.0,First Touch
621,Referrals,31,308.3,First Touch
623,Affiliate,16,0.0,First Touch
624,Paid Search,2,0.0,First Touch
628,Email,45,0.0,First Touch
632,Display,47,2595.62,First Touch
634,Direct,42,0.0,First Touch
638,Direct,3,38.68,First Touch
639,Paid Search,45,0.0,First Touch
640,Referrals,50,0.0,First Touch
651,Paid Search,10,1075.68,First Touch
653,Affiliate,17,0.0,First Touch
655,Display,40,4606.23,First Touch
658,Direct,41,0.0,First Touch
660,Email,17,2678.36,First Touch
662,Paid Social,32,5775.379999999999,First Touch
664,Affiliate,34,437.44,First Touch
665,Email,34,0.0,First Touch
669,Email,29,0.0,First Touch
672,Email,38,2921.26,First Touch
674,Paid Social,49,2017.94,First Touch
678,Paid Social,18,2421.09,First Touch
684,Paid Search,31,6303.45,First Touch
687,Email,40,3789.92,First Touch
690,Direct,32,969.78,First Touch
695,Display,38,0.0,First Touch
696,Direct,5,2086.18,First Touch
697,Direct,21,729.69,First Touch
698,Display,23,0.0,First Touch
705,Paid Search,23,5350.8,First Touch
708,Email,4,0.0,First Touch
709,Affiliate,41,0.0,First Touch
710,Paid Search,40,0.0,First Touch
711,Display,29,0.0,First Touch
713,Paid Search,40,1011.74,First Touch
714,Email,8,0.0,First Touch
716,Direct,38,3238.4,First Touch
717,Affiliate,34,0.0,First Touch
722,Email,10,4636.21,First Touch
727,Email,32,0.0,First Touch
728,Paid Search,18,1047.1,First Touch
731,Email,39,0.0,First Touch
733,Email,11,3963.68,First Touch
736,Paid Search,38,3538.8,First Touch
738,Email,33,1936.87,First Touch
739,Affiliate,43,0.0,First Touch
741,Paid Social,26,1083.87,First Touch
749,Email,15,0.0,First Touch
757,Affiliate,22,0.0,First Touch
760,Affiliate,15,1265.44,First Touch
765,Referrals,22,0.0,First Touch
766,Email,13,0.0,First Touch
769,Affiliate,7,0.0,First Touch
772,Referrals,49,0.0,First Touch
773,Direct,49,1458.09,First Touch
782,Affiliate,36,560.02,First Touch
783,Display,41,8122.59,First Touch
784,Referrals,49,0.0,First Touch
785,Paid Social,30,1348.3,First Touch
786,Email,39,4783.23,First Touch
787,Direct,46,0.0,First Touch
789,Display,20,83.46,First Touch
790,Paid Search,6,2732.17,First Touch
792,Email,8,0.0,First Touch
793,Affiliate,40,1759.66,First Touch
801,Referrals,42,3365.56,First Touch
803,Affiliate,17,723.2,First Touch
814,Affiliate,49,0.0,First Touch
817,Email,48,1034.01,First Touch
820,Email,41,0.0,First Touch
829,Email,44,853.94,First Touch
832,Direct,11,5426.15,First Touch
836,Email,21,0.0,First Touch
843,Referrals,42,0.0,First Touch
845,Email,38,5003.24,First Touch
846,Paid Social,36,9799.83,First Touch
847,Direct,45,0.0,First Touch
859,Affiliate,21,690.84,First Touch
865,Paid Social,30,3416.63,First Touch
867,Direct,44,6706.82,First Touch
869,Display,7,5007.58,First Touch
872,Paid Social,46,0.0,First Touch
873,Paid Search,33,0.0,First Touch
876,Paid Search,48,0.0,First Touch
879,Display,20,6294.11,First Touch
883,Referrals,7,0.0,First Touch
887,Email,12,0.0,First Touch
889,Email,12,0.0,First Touch
890,Affiliate,29,0.0,First Touch
894,Email,15,0.0,First Touch
895,Display,5,3966.83,First Touch
896,Display,10,2277.48,First Touch
900,Email,9,7867.9,First Touch
903,Affiliate,26,0.0,First Touch
906,Paid Social,16,0.0,First Touch
907,Paid Social,7,0.0,First Touch
908,Paid Social,26,621.64,First Touch
919,Email,12,0.0,First Touch
920,Paid Search,5,1212.47,First Touch
922,Display,48,3323.64,First Touch
924,Paid Search,15,0.0,First Touch
925,Display,35,0.0,First Touch
926,Direct,30,56.4,First Touch
930,Display,26,0.0,First Touch
932,Paid Social,46,2800.05,First Touch
938,Paid Social,19,0.0,First Touch
944,Direct,24,5178.8,First Touch
954,Direct,2,1857.48,First Touch
956,Display,20,8200.69,First Touch
957,Referrals,33,6316.7,First Touch
961,Referrals,20,0.0,First Touch
965,Referrals,25,1858.52,First Touch
967,Referrals,44,2233.47,First Touch
968,Email,24,1959.44,First Touch
969,Email,22,13093.75,First Touch
971,Paid Search,24,0.0,First Touch
973,Paid Search,24,301.81,First Touch
981,Direct,38,1062.9,First Touch
983,Paid Search,28,0.0,First Touch
987,Affiliate,29,1368.66,First Touch
991,Affiliate,42,2283.48,First Touch
993,Email,10,0.0,First Touch
994,Referrals,25,0.0,First Touch
995,Direct,2,1260.25,First Touch
998,Referrals,13,2032.99,First Touch
999,Direct,46,0.0,First Touch
1006,Display,43,378.24,First Touch
1008,Referrals,1,0.0,First Touch
1010,Display,25,1176.51,First Touch
1018,Paid Search,25,1250.19,First Touch
1019,Paid Social,36,0.0,First Touch
1020,Paid Social,36,0.0,First Touch
1022,Direct,40,0.0,First Touch
1023,Paid Social,29,1559.27,First Touch
1025,Paid Social,19,0.0,First Touch
1027,Paid Social,31,825.78,First Touch
1030,Affiliate,20,1048.24,First Touch
1032,Referrals,7,1660.48,First Touch
1039,Affiliate,17,0.0,First Touch
1047,Paid Social,27,0.0,First Touch
1048,Affiliate,35,2909.21,First Touch
1049,Paid Social,18,0.0,First Touch
1054,Direct,1,0.0,First Touch
1056,Paid Search,10,3935.05,First Touch
1062,Display,18,0.0,First Touch
1063,Paid Search,25,9445.55,First Touch
1065,Email,14,0.0,First Touch
1068,Affiliate,19,166.04,First Touch
1077,Referrals,4,0.0,First Touch
1078,Referrals,7,720.9,First Touch
1084,Referrals,14,0.0,First Touch
1085,Paid Social,1,0.0,First Touch
1088,Referrals,25,2188.95,First Touch
1092,Referrals,18,335.5,First Touch
1093,Affiliate,25,0.0,First Touch
1098,Paid Search,29,4399.28,First Touch
1100,Affiliate,21,4065.62,First Touch
1101,Referrals,44,3149.07,First Touch
1102,Paid Search,4,2821.9,First Touch
1104,Paid Social,3,2916.16,First Touch
1105,Referrals,20,2108.35,First Touch
1108,Email,31,0.0,First Touch
1116,Email,46,0.0,First Touch
1120,Paid Search,22,0.0,First Touch
1123,Referrals,26,1838.96,First Touch
1132,Affiliate,43,0.0,First Touch
1148,Display,38,7498.370000000001,First Touch
1150,Direct,14,1793.81,First Touch
1159,Paid Search,7,3505.51,First Touch
1163,Email,43,353.89,First Touch
1164,Referrals,24,2528.05,First Touch
1167,Paid Search,40,0.0,First Touch
1169,Referrals,44,0.0,First Touch
1171,Email,7,4323.07,First Touch
1173,Paid Social,26,8685.36,First Touch
1174,Display,31,765.0,First Touch
1180,Paid Social,34,1855.49,First Touch
1192,Paid Search,6,231.71,First Touch
1194,Paid Search,13,329.6,First Touch
1201,Display,11,266.25,First Touch
1202,Display,29,3662.98,First Touch
1203,Paid Social,11,0.0,First Touch
1206,Affiliate,2,2424.95,First Touch
1207,Direct,37,3143.41,First Touch
1210,Affiliate,49,0.0,First Touch
1214,Paid Social,29,320.69,First Touch
1217,Display,19,0.0,First Touch
1222,Direct,18,5068.18,First Touch
1223,Display,43,0.0,First Touch
1227,Paid Social,31,2357.02,First Touch
1228,Display,24,3591.94,First Touch
1229,Display,4,731.88,First Touch
1233,Referrals,17,113.28,First Touch
1234,Paid Search,36,517.44,First Touch
1235,Paid Search,25,0.0,First Touch
1240,Paid Search,9,0.0,First Touch
1242,Referrals,46,7052.6900000000005,First Touch
1244,Paid Social,29,0.0,First Touch
1246,Referrals,9,0.0,First Touch
1249,Affiliate,38,0.0,First Touch
1250,Email,22,0.0,First Touch
1251,Paid Social,19,0.0,First Touch
1252,Email,50,0.0,First Touch
1254,Email,29,0.0,First Touch
1258,Paid Search,39,0.0,First Touch
1259,Paid Social,15,0.0,First Touch
1263,Referrals,32,0.0,First Touch
1265,Paid Social,22,0.0,First Touch
1267,Paid Social,31,1361.54,First Touch
1268,Paid Search,23,1580.75,First Touch
1271,Display,29,0.0,First Touch
1273,Referrals,8,370.12,First Touch
1274,Email,6,5609.75,First Touch
1275,Affiliate,30,1744.28,First Touch
1278,Direct,12,0.0,First Touch
1284,Referrals,5,2946.24,First Touch
1285,Paid Social,43,3261.64,First Touch
1286,Referrals,38,5019.6,First Touch
1288,Paid Search,3,0.0,First Touch
1296,Direct,26,0.0,First Touch
1297,Direct,30,0.0,First Touch
1300,Paid Social,30,5645.15,First Touch
1302,Email,18,0.0,First Touch
1305,Direct,22,765.0,First Touch
1306,Email,41,0.0,First Touch
1309,Paid Search,42,0.0,First Touch
1313,Direct,24,734.94,First Touch
1317,Display,21,0.0,First Touch
1318,Referrals,28,1892.4,First Touch
1319,Paid Social,50,0.0,First Touch
1322,Direct,1,0.0,First Touch
1324,Referrals,48,3486.21,First Touch
1328,Email,45,1539.63,First Touch
1331,Paid Social,5,0.0,First Touch
1338,Affiliate,28,0.0,First Touch
1342,Referrals,25,0.0,First Touch
1347,Referrals,42,5616.51,First Touch
1351,Affiliate,31,0.0,First Touch
1352,Direct,30,6068.1900000000005,First Touch
1355,Email,35,0.0,First Touch
1357,Affiliate,45,7851.65,First Touch
1362,Affiliate,34,2651.24,First Touch
1367,Email,33,608.03,First Touch
1370,Display,40,561.79,First Touch
1372,Paid Search,22,0.0,First Touch
1373,Affiliate,26,0.0,First Touch
1378,Affiliate,35,1994.69,First Touch
1379,Email,47,0.0,First Touch
1380,Email,19,0.0,First Touch
1382,Display,42,0.0,First Touch
1384,Paid Search,40,933.1,First Touch
1385,Direct,2,4138.64,First Touch
1386,Display,27,4507.33,First Touch
1391,Referrals,1,4099.89,First Touch
1392,Affiliate,37,1628.87,First Touch
1400,Affiliate,43,552.86,First Touch
1405,Paid Social,37,236.9,First Touch
1408,Affiliate,22,0.0,First Touch
1410,Direct,49,0.0,First Touch
1411,Display,5,0.0,First Touch
1416,Paid Search,24,921.69,First Touch
1419,Paid Search,36,292.08,First Touch
1421,Display,46,0.0,First Touch
1428,Affiliate,12,2829.84,First Touch
1429,Display,17,0.0,First Touch
1430,Display,47,0.0,First Touch
1432,Email,2,5762.56,First Touch
1433,Paid Social,40,1445.9,First Touch
1438,Referrals,35,0.0,First Touch
1439,Paid Social,19,0.0,First Touch
1440,Affiliate,41,0.0,First Touch
1442,Affiliate,46,2844.07,First Touch
1443,Paid Search,43,0.0,First Touch
1445,Email,47,2668.09,First Touch
1448,Paid Search,14,0.0,First Touch
1449,Paid Social,48,1872.05,First Touch
1451,Paid Search,18,4115.37,First Touch
1457,Display,10,0.0,First Touch
1463,Email,26,6331.05,First Touch
1470,Affiliate,28,325.3,First Touch
1471,Display,7,9598.16,First Touch
1473,Affiliate,14,1004.84,First Touch
1474,Direct,8,0.0,First Touch
1475,Direct,30,0.0,First Touch
1477,Paid Social,22,1421.4,First Touch
1480,Referrals,29,3466.94,First Touch
1484,Affiliate,5,0.0,First Touch
1489,Display,26,410.9,First Touch
1501,Affiliate,24,4528.3,First Touch
1504,Email,43,1130.2,First Touch
1506,Display,26,0.0,First Touch
1512,Email,43,0.0,First Touch
1513,Referrals,43,1615.7,First Touch
1515,Direct,26,3707.02,First Touch
1517,Paid Social,4,5356.64,First Touch
1518,Affiliate,30,5858.56,First Touch
1519,Display,40,1762.3,First Touch
1521,Direct,3,2850.59,First Touch
1522,Referrals,19,2627.0,First Touch
1523,Paid Social,36,1301.56,First Touch
1525,Direct,4,0.0,First Touch
1529,Direct,16,0.0,First Touch
1532,Paid Search,15,561.05,First Touch
1534,Paid Social,37,4270.49,First Touch
1539,Referrals,29,0.0,First Touch
1540,Direct,15,0.0,First Touch
1542,Referrals,24,1261.69,First Touch
1546,Paid Social,3,7299.24,First Touch
1547,Affiliate,46,2653.3,First Touch
1548,Display,38,3811.43,First Touch
1549,Referrals,17,5047.09,First Touch
1551,Affiliate,14,0.0,First Touch
1552,Email,22,1186.26,First Touch
1553,Paid Social,48,3374.84,First Touch
1555,Referrals,12,4223.32,First Touch
1557,Referrals,50,4402.59,First Touch
1558,Direct,13,2570.47,First Touch
1560,Referrals,17,678.12,First Touch
1565,Paid Social,28,985.5,First Touch
1567,Direct,45,1777.35,First Touch
1568,Direct,4,0.0,First Touch
1571,Affiliate,12,5931.3,First Touch
1572,Direct,39,0.0,First Touch
1573,Email,13,1310.35,First Touch
1574,Paid Social,25,774.27,First Touch
1576,Paid Social,43,0.0,First Touch
1579,Display,11,3405.63,First Touch
1582,Referrals,33,457.82,First Touch
1583,Referrals,24,0.0,First Touch
1587,Email,45,0.0,First Touch
1588,Email,49,0.0,First Touch
1590,Direct,30,0.0,First Touch
1592,Paid Search,43,4640.44,First Touch
1599,Affiliate,43,2748.9,First Touch
1603,Affiliate,12,1575.59,First Touch
1604,Display,10,107.7,First Touch
1605,Paid Social,13,4151.78,First Touch
1606,Paid Social,26,0.0,First Touch
1611,Paid Search,4,378.86,First Touch
1614,Affiliate,33,0.0,First Touch
1617,Affiliate,14,0.0,First Touch
1619,Email,49,3248.7,First Touch
1624,Direct,21,0.0,First Touch
1626,Paid Search,26,321.5,First Touch
1629,Email,18,568.8,First Touch
1631,Display,5,0.0,First Touch
1633,Email,26,3864.19,First Touch
1635,Affiliate,41,0.0,First Touch
1640,Direct,35,0.0,First Touch
1644,Display,14,5040.56,First Touch
1652,Paid Search,4,0.0,First Touch
1655,Email,33,3509.72,First Touch
1657,Referrals,22,3251.21,First Touch
1660,Affiliate,36,3640.71,First Touch
1664,Paid Social,2,0.0,First Touch
1666,Referrals,34,0.0,First Touch
1671,Paid Social,49,0.0,First Touch
1672,Display,15,0.0,First Touch
1674,Direct,50,0.0,First Touch
1677,Email,48,0.0,First Touch
1679,Email,34,49.27,First Touch
1681,Referrals,35,1229.44,First Touch
1682,Affiliate,20,0.0,First Touch
1684,Direct,41,0.0,First Touch
1685,Paid Social,9,0.0,First Touch
1686,Referrals,21,0.0,First Touch
1689,Paid Social,3,0.0,First Touch
1695,Paid Social,8,347.02,First Touch
1698,Referrals,39,0.0,First Touch
1712,Affiliate,6,0.0,First Touch
1713,Email,44,1667.96,First Touch
1715,Paid Social,10,6477.04,First Touch
1722,Email,35,0.0,First Touch
1723,Paid Social,50,1228.92,First Touch
1724,Paid Social,49,4900.23,First Touch
1725,Direct,43,0.0,First Touch
1726,Direct,36,2654.6,First Touch
1734,Paid Social,35,886.12,First Touch
1736,Affiliate,42,4740.0,First Touch
1737,Display,33,0.0,First Touch
1739,Email,15,0.0,First Touch
1745,Referrals,8,5191.1,First Touch
1746,Display,37,2482.89,First Touch
1750,Paid Search,42,933.1,First Touch
1752,Paid Social,18,939.59,First Touch
1754,Paid Social,45,10464.2,First Touch
1756,Email,15,4505.6900000000005,First Touch
1759,Display,34,11519.15,First Touch
1763,Direct,21,4150.8,First Touch
1766,Paid Search,13,4147.45,First Touch
1767,Display,9,7018.889999999999,First Touch
1771,Paid Social,43,0.0,First Touch
1772,Display,18,1195.81,First Touch
1774,Display,40,0.0,First Touch
1775,Paid Social,36,0.0,First Touch
1779,Email,28,3529.47,First Touch
1781,Direct,5,0.0,First Touch
1784,Paid Social,46,0.0,First Touch
1789,Email,21,4467.82,First Touch
1791,Referrals,35,1823.91,First Touch
1800,Affiliate,20,0.0,First Touch
1802,Referrals,29,5604.55,First Touch
1804,Affiliate,10,0.0,First Touch
1806,Display,40,0.0,First Touch
1810,Paid Social,1,89.83,First Touch
1812,Display,27,5667.25,First Touch
1815,Affiliate,43,3402.12,First Touch
1816,Email,44,866.26,First Touch
1817,Paid Search,38,3088.67,First Touch
1818,Display,11,0.0,First Touch
1823,Referrals,34,852.84,First Touch
1824,Affiliate,5,4298.13,First Touch
1832,Paid Social,18,7504.290000000001,First Touch
1835,Display,14,5908.040000000001,First Touch
1837,Direct,22,0.0,First Touch
1838,Affiliate,50,5050.35,First Touch
1839,Direct,30,0.0,First Touch
1840,Email,26,0.0,First Touch
1846,Direct,24,1656.21,First Touch
1847,Direct,45,425.77,First Touch
1848,Paid Search,22,64.62,First Touch
1850,Affiliate,28,1015.92,First Touch
1868,Affiliate,28,0.0,First Touch
1872,Referrals,33,0.0,First Touch
1874,Affiliate,3,0.0,First Touch
1876,Paid Search,19,42.42,First Touch
1878,Referrals,32,1614.92,First Touch
1879,Referrals,10,0.0,First Touch
1881,Referrals,18,1283.95,First Touch
1886,Direct,42,915.61,First Touch
1887,Paid Search,22,0.0,First Touch
1891,Paid Search,3,4201.64,First Touch
1893,Direct,32,0.0,First Touch
1898,Referrals,21,3749.0,First Touch
1899,Display,5,0.0,First Touch
1907,Paid Social,44,170.79,First Touch
1914,Email,21,5743.68,First Touch
1915,Email,17,624.79,First Touch
1916,Paid Search,42,0.0,First Touch
1918,Direct,50,6298.88,First Touch
1919,Direct,29,0.0,First Touch
1921,Direct,4,1191.68,First Touch
1923,Email,41,0.0,First Touch
1925,Paid Search,47,0.0,First Touch
1926,Display,21,481.11,First Touch
1929,Paid Search,36,0.0,First Touch
1931,Direct,44,3395.34,First Touch
1934,Affiliate,12,0.0,First Touch
1939,Paid Search,38,168.83,First Touch
1950,Direct,36,2325.74,First Touch
1952,Affiliate,19,0.0,First Touch
1953,Direct,30,65.82,First Touch
1960,Paid Search,38,0.0,First Touch
1961,Paid Search,49,0.0,First Touch
1964,Display,2,2369.03,First Touch
1969,Email,34,4050.37,First Touch
1971,Paid Search,2,1348.85,First Touch
1972,Paid Search,35,0.0,First Touch
1976,Affiliate,39,1093.71,First Touch
1977,Email,47,3246.37,First Touch
1979,Paid Search,34,0.0,First Touch
1986,Referrals,13,0.0,First Touch
1994,Affiliate,31,0.0,First Touch
1999,Display,31,0.0,First Touch
2004,Affiliate,8,0.0,First Touch
2006,Direct,32,0.0,First Touch
2008,Paid Search,44,0.0,First Touch
2009,Paid Social,49,0.0,First Touch
2011,Direct,39,5679.71,First Touch
2013,Display,47,0.0,First Touch
2014,Direct,39,0.0,First Touch
2015,Paid Search,2,0.0,First Touch
2018,Referrals,43,3932.85,First Touch
2021,Direct,30,3978.34,First Touch
2026,Paid Social,14,0.0,First Touch
2027,Email,15,0.0,First Touch
2028,Affiliate,27,0.0,First Touch
2030,Paid Social,36,0.0,First Touch
2034,Affiliate,18,0.0,First Touch
2035,Affiliate,4,4177.17,First Touch
2037,Display,6,0.0,First Touch
2039,Direct,17,0.0,First Touch
2041,Affiliate,40,0.0,First Touch
2049,Direct,20,1815.37,First Touch
2054,Paid Search,34,194.58,First Touch
2055,Direct,26,2069.32,First Touch
2059,Paid Social,33,4247.26,First Touch
2060,Direct,19,5424.2,First Touch
2064,Display,15,0.0,First Touch
2066,Display,23,3893.59,First Touch
2070,Paid Search,19,3344.7,First Touch
2072,Paid Search,12,0.0,First Touch
2073,Direct,39,2241.86,First Touch
2074,Referrals,9,2998.69,First Touch
2080,Email,49,3615.73,First Touch
2083,Display,42,0.0,First Touch
2084,Affiliate,21,1701.06,First Touch
2089,Display,2,6074.84,First Touch
2095,Paid Search,8,0.0,First Touch
2099,Direct,34,2946.88,First Touch
2100,Email,9,0.0,First Touch
2102,Referrals,21,8356.82,First Touch
2104,Referrals,40,0.0,First Touch
2105,Affiliate,43,0.0,First Touch
2107,Paid Social,11,2343.73,First Touch
2113,Paid Social,39,86.51,First Touch
2119,Display,31,166.94,First Touch
2121,Paid Social,2,0.0,First Touch
2125,Paid Search,36,3232.9700000000003,First Touch
2130,Referrals,10,193.38,First Touch
2131,Paid Social,48,2639.57,First Touch
2135,Paid Search,49,999.78,First Touch
2138,Affiliate,49,0.0,First Touch
2143,Display,45,682.27,First Touch
2144,Affiliate,19,828.29,First Touch
2146,Paid Search,37,1958.52,First Touch
2150,Display,29,0.0,First Touch
2155,Paid Search,6,0.0,First Touch
2157,Direct,50,0.0,First Touch
2158,Direct,45,0.0,First Touch
2161,Affiliate,8,2795.76,First Touch
2164,Direct,44,0.0,First Touch
2165,Paid Social,16,2161.52,First Touch
2168,Paid Social,29,3984.35,First Touch
2170,Paid Search,38,485.12,First Touch
2173,Display,36,0.0,First Touch
2178,Affiliate,27,3033.84,First Touch
2184,Paid Social,8,0.0,First Touch
2186,Paid Social,12,0.0,First Touch
2187,Email,26,0.0,First Touch
2188,Paid Search,7,1040.32,First Touch
2190,Direct,46,6192.8,First Touch
2191,Direct,6,0.0,First Touch
2204,Direct,43,87.03,First Touch
2205,Direct,13,0.0,First Touch
2207,Paid Search,36,0.0,First Touch
2210,Paid Search,43,0.0,First Touch
2213,Email,40,0.0,First Touch
2215,Display,24,0.0,First Touch
2217,Email,35,1741.69,First Touch
2220,Referrals,48,0.0,First Touch
2221,Email,35,1424.26,First Touch
