customer_id,event_id,timestamp,session_id,event_type,product_id,device_type,traffic_source,campaign_id,page_category,session_duration_sec,experiment_group,touch_order
116,654966,2023-07-16 16:37:14,S4895755,purchase,474,Tablet,Paid Search,14,Checkout,3327,A,1
118,774006,2023-10-05 12:15:31,S4638922,purchase,268,Desktop,Email,12,Product,3298,B,3
119,700086,2024-09-22 04:46:36,S3822362,purchase,242,Mobile,Paid Social,47,Category,3026,A,8
124,186177,2023-10-15 06:34:38,S6426583,purchase,78,Desktop,Paid Social,26,Search,2731,A,8
129,259295,2023-02-15 02:22:24,S5124311,purchase,244,Mobile,Email,36,Cart,2431,B,1
134,562753,2023-05-06 02:46:09,S2114601,purchase,441,Tablet,Email,49,Product,3295,B,2
136,659903,2023-12-01 11:03:58,S5731858,purchase,183,Desktop,Direct,28,Category,1132,B,6
139,556180,2024-02-29 01:48:02,S8695401,purchase,235,Tablet,Affiliate,11,Category,3314,B,4
142,449791,2023-11-08 21:17:03,S9276087,purchase,353,Mobile,Email,23,Profile,596,A,6
146,550886,2024-11-26 22:02:10,S7033778,purchase,492,Mobile,Paid Search,18,Profile,3232,A,13
154,711313,2025-02-04 22:45:36,S8325187,purchase,191,Desktop,Referrals,22,Home,433,A,6
158,398425,2024-06-24 09:51:33,S9309628,purchase,215,Mobile,Paid Search,2,Cart,2171,A,7
159,761497,2025-01-21 16:02:41,S8224903,purchase,226,Tablet,Email,37,Profile,2702,B,14
160,3091,2024-01-25 23:06:30,S9697641,purchase,210,Mobile,Direct,44,Product,3521,A,7
163,125789,2024-05-19 23:18:06,S8887972,purchase,323,Desktop,Paid Social,34,Cart,2443,A,8
167,332260,2024-01-14 13:37:41,S4765960,purchase,303,Tablet,Paid Search,27,Home,1174,A,7
169,610821,2023-01-24 21:20:47,S6690856,purchase,428,Mobile,Referrals,24,Checkout,1014,B,1
170,648976,2023-06-28 05:40:42,S5983043,purchase,418,Mobile,Email,41,Cart,2774,B,3
172,484572,2023-12-28 07:32:02,S9233447,purchase,132,Desktop,Referrals,27,Category,1568,A,5
174,472545,2023-04-16 02:30:39,S8360493,purchase,298,Desktop,Display,13,Search,472,B,2
178,607996,2023-03-23 00:31:10,S5823395,purchase,221,Tablet,Paid Search,36,Home,2556,A,1
179,371145,2024-10-12 10:33:53,S6218605,purchase,58,Desktop,Display,41,Cart,3353,B,8
180,260218,2023-06-07 18:19:59,S1327757,purchase,211,Tablet,Referrals,14,Category,2823,A,3
182,366459,2023-04-19 06:08:48,S3858407,purchase,116,Tablet,Affiliate,47,Product,2125,B,2
186,382991,2023-09-19 01:26:06,S5762422,purchase,213,Desktop,Paid Social,43,Cart,2885,B,3
188,666672,2025-02-14 02:32:51,S5104394,purchase,21,Tablet,Affiliate,31,Cart,3387,B,10
194,732514,2023-03-18 11:53:03,S5306740,purchase,404,Mobile,Email,25,Category,2536,B,1
199,699673,2023-01-29 03:29:24,S4940344,purchase,446,Desktop,Display,33,Category,2918,A,1
200,552768,2023-12-19 21:52:07,S4221634,purchase,321,Tablet,Display,18,Product,1259,A,6
201,551917,2023-02-02 03:48:01,S6245376,purchase,438,Desktop,Paid Social,41,Category,249,B,1
204,604251,2024-03-26 11:22:06,S3145874,purchase,236,Desktop,Display,3,Profile,2591,A,7
211,19333,2024-10-09 23:19:53,S6321134,purchase,480,Desktop,Email,25,Cart,2748,B,3
214,567586,2024-06-18 06:34:28,S4229138,purchase,243,Tablet,Paid Search,31,Profile,934,B,6
218,151928,2024-11-06 01:59:45,S7758980,purchase,284,Desktop,Paid Search,20,Cart,1719,B,8
225,345660,2024-10-14 17:51:07,S8227441,purchase,288,Mobile,Email,41,Search,3478,B,9
228,693875,2023-02-18 03:40:45,S8497096,purchase,68,Mobile,Referrals,41,Checkout,3320,B,1
229,317906,2023-07-16 20:57:13,S9369307,purchase,223,Tablet,Paid Social,47,Product,3574,A,9
231,460346,2024-03-08 10:15:48,S7031486,purchase,258,Mobile,Affiliate,11,Home,1025,B,3
236,204616,2023-03-06 16:03:54,S5732927,purchase,371,Mobile,Paid Social,6,Home,3220,B,2
240,121380,2025-01-17 20:46:14,S7423512,purchase,406,Desktop,Display,42,Checkout,2171,A,10
243,123542,2023-10-29 05:16:04,S5954989,purchase,394,Tablet,Affiliate,31,Product,2956,B,4
246,263481,2023-01-17 08:24:12,S3426174,purchase,299,Mobile,Paid Social,3,Checkout,2945,A,1
247,593129,2024-10-13 13:35:54,S4493747,purchase,336,Mobile,Affiliate,23,Search,2068,A,4
248,319119,2023-04-05 09:53:57,S5750573,purchase,31,Mobile,Paid Social,40,Cart,793,A,1
250,209013,2023-05-14 13:45:14,S1918486,purchase,480,Tablet,Display,23,Product,2991,A,1
252,651635,2024-05-10 02:49:58,S7283344,purchase,231,Mobile,Paid Search,33,Category,2963,A,5
255,166151,2024-07-29 07:44:00,S3668952,purchase,94,Tablet,Paid Social,29,Home,765,B,12
257,243197,2023-01-07 11:39:24,S8470409,purchase,378,Tablet,Affiliate,49,Checkout,3178,A,2
258,94306,2025-02-09 11:28:43,S5619050,purchase,99,Desktop,Direct,5,Profile,2830,B,4
261,212046,2024-03-27 10:55:12,S9341331,purchase,403,Mobile,Paid Search,33,Search,2493,A,5
268,107531,2024-02-24 19:56:45,S6679450,purchase,186,Mobile,Display,7,Profile,1224,A,5
272,226209,2025-01-07 08:12:03,S5695145,purchase,169,Mobile,Affiliate,12,Checkout,3399,B,8
273,59253,2023-06-01 02:18:35,S5267196,purchase,284,Tablet,Direct,35,Category,2533,B,4
274,237163,2023-03-16 17:53:54,S8737526,purchase,207,Tablet,Email,18,Cart,2514,A,2
278,347065,2024-01-11 04:44:29,S6757466,purchase,85,Mobile,Email,4,Search,326,A,3
287,395516,2025-01-16 00:19:51,S3454745,purchase,89,Mobile,Paid Social,18,Search,2237,B,8
289,277012,2024-12-17 16:14:00,S5859165,purchase,136,Tablet,Referrals,7,Category,3117,B,7
290,469965,2024-05-03 02:00:04,S2414413,purchase,119,Desktop,Direct,49,Home,283,B,7
291,590800,2023-08-26 13:46:01,S6026191,purchase,246,Tablet,Affiliate,36,Cart,3553,A,3
292,451763,2023-01-22 21:59:46,S3906326,purchase,90,Desktop,Email,36,Checkout,3137,B,1
293,678927,2023-05-08 15:55:13,S9157743,purchase,373,Desktop,Paid Social,24,Product,929,A,2
301,145272,2024-11-27 02:16:44,S3300874,purchase,13,Mobile,Affiliate,48,Product,205,A,7
304,636561,2024-03-08 20:04:09,S3347598,purchase,237,Tablet,Paid Social,21,Home,3027,B,1
307,147708,2023-12-04 15:29:06,S2230750,purchase,414,Mobile,Referrals,26,Checkout,596,A,4
308,286670,2025-01-16 16:15:43,S9384330,purchase,235,Mobile,Direct,10,Cart,2079,B,11
309,208817,2025-02-24 22:51:48,S5377553,purchase,145,Desktop,Display,33,Product,3514,B,8
311,252100,2024-10-25 11:08:37,S2942017,purchase,274,Desktop,Affiliate,37,Home,2423,A,9
315,204508,2024-04-19 10:05:55,S5637603,purchase,324,Mobile,Display,37,Category,1973,B,2
316,357232,2023-05-20 09:54:18,S7881773,purchase,426,Tablet,Email,18,Home,2573,A,2
325,428093,2023-02-05 21:53:05,S3769202,purchase,369,Desktop,Email,39,Checkout,1081,A,1
328,342051,2023-05-21 06:12:21,S3852347,purchase,449,Mobile,Referrals,41,Checkout,26,B,6
336,783124,2023-03-15 02:33:16,S7958410,purchase,154,Desktop,Display,36,Search,2377,B,1
339,743360,2023-05-13 11:36:35,S9279996,purchase,493,Tablet,Paid Search,16,Home,424,A,2
341,230823,2024-12-08 00:02:48,S6032265,purchase,499,Tablet,Display,40,Product,3528,A,10
343,209685,2023-05-27 18:03:32,S8582068,purchase,245,Mobile,Paid Social,7,Product,3203,A,1
347,614560,2024-09-29 10:34:11,S8181353,purchase,99,Desktop,Email,16,Checkout,3380,A,9
353,487536,2024-07-28 12:19:40,S9047099,purchase,355,Mobile,Referrals,39,Checkout,2907,A,6
354,658053,2023-05-30 06:37:45,S3977034,purchase,390,Desktop,Display,42,Product,2595,A,1
356,351032,2024-10-04 13:03:39,S3293017,purchase,272,Mobile,Paid Social,31,Product,527,B,11
358,560507,2024-03-17 08:13:22,S2176475,purchase,225,Desktop,Direct,4,Product,1654,A,4
364,177510,2023-01-05 14:04:28,S2098990,purchase,422,Mobile,Direct,22,Search,547,B,1
365,737788,2023-06-20 18:26:02,S4228940,purchase,51,Tablet,Paid Search,36,Category,1798,B,1
366,671141,2024-01-02 21:28:33,S7340403,purchase,454,Mobile,Paid Social,50,Category,1211,B,4
368,272575,2023-11-06 05:02:57,S7860653,purchase,482,Mobile,Display,1,Product,1663,B,4
369,416151,2023-06-27 03:19:30,S8022817,purchase,228,Desktop,Direct,19,Category,483,B,3
374,714755,2023-11-10 15:40:44,S1471425,purchase,173,Desktop,Paid Social,48,Category,2806,B,3
382,713892,2024-05-21 06:08:32,S4512825,purchase,434,Mobile,Referrals,33,Product,1879,A,9
385,762259,2025-02-21 06:23:10,S7920765,purchase,383,Tablet,Direct,2,Profile,877,B,7
387,786739,2023-02-04 19:58:05,S1570810,purchase,38,Mobile,Email,29,Profile,439,A,1
391,363302,2023-10-08 04:42:42,S7149239,purchase,24,Mobile,Paid Social,4,Checkout,2761,A,3
397,159987,2023-09-10 02:34:26,S6629380,purchase,127,Desktop,Display,45,Cart,16,B,2
401,333989,2023-01-04 01:10:04,S5678069,purchase,464,Desktop,Direct,18,Profile,2668,B,1
407,537784,2023-05-09 11:07:13,S5758347,purchase,498,Mobile,Email,15,Home,3106,B,4
412,121742,2024-09-23 20:11:06,S4214923,purchase,104,Desktop,Direct,35,Product,309,A,7
415,543806,2024-12-14 04:54:45,S7191509,purchase,183,Tablet,Email,9,Search,783,A,7
416,633615,2024-01-17 01:13:34,S4192754,purchase,104,Mobile,Display,50,Product,3106,B,4
426,127734,2023-04-19 08:16:29,S7140569,purchase,280,Tablet,Paid Search,46,Product,2893,B,1
432,81063,2023-02-23 19:09:34,S2442326,purchase,426,Mobile,Direct,47,Profile,2664,A,2
434,650399,2024-01-27 09:27:53,S5761600,purchase,337,Desktop,Referrals,7,Cart,2533,A,3
438,429047,2023-02-28 19:05:09,S1786002,purchase,163,Tablet,Display,25,Profile,2488,A,1
447,584427,2023-10-05 03:08:20,S1561588,purchase,134,Desktop,Paid Search,34,Category,3154,A,1
449,379040,2024-10-10 09:49:42,S7994161,purchase,300,Tablet,Direct,34,Search,1324,A,12
454,20428,2024-03-01 14:28:13,S8663248,purchase,156,Mobile,Direct,39,Cart,2506,A,6
456,705517,2023-01-27 09:09:03,S2472497,purchase,277,Desktop,Affiliate,36,Product,247,A,1
461,618905,2024-06-09 20:36:18,S6824641,purchase,282,Mobile,Paid Social,40,Product,715,A,3
468,562921,2024-08-11 22:13:38,S5910603,purchase,122,Tablet,Paid Search,25,Category,2327,A,6
474,116170,2023-09-24 04:49:11,S3356262,purchase,4,Tablet,Direct,7,Cart,3519,A,3
475,668958,2024-01-25 01:11:39,S7764169,purchase,314,Tablet,Direct,41,Category,262,A,7
481,13896,2024-03-01 03:19:48,S7316075,purchase,241,Mobile,Paid Social,27,Home,2564,A,5
483,232389,2023-11-11 01:51:07,S1744410,purchase,362,Desktop,Direct,37,Cart,3118,B,4
491,138599,2023-03-07 19:25:17,S8074058,purchase,347,Tablet,Paid Social,49,Search,2411,A,2
497,155044,2023-05-15 09:46:03,S1868282,purchase,331,Mobile,Paid Social,6,Category,1522,B,2
498,587056,2025-02-19 17:32:21,S2116557,purchase,479,Mobile,Display,19,Product,639,B,8
502,439017,2023-07-29 23:17:01,S6337028,purchase,203,Desktop,Display,18,Search,2324,B,4
505,378259,2024-11-05 19:47:00,S5958720,purchase,104,Desktop,Paid Social,19,Home,727,B,10
511,285260,2023-11-27 17:12:01,S5686434,purchase,111,Tablet,Paid Search,40,Profile,727,B,5
512,720144,2024-11-20 02:55:11,S1219611,purchase,310,Tablet,Paid Social,4,Home,1731,A,7
515,528360,2024-01-06 23:12:26,S7768948,purchase,342,Tablet,Affiliate,49,Product,2358,B,6
516,53232,2024-03-11 18:23:27,S8998962,purchase,266,Tablet,Display,26,Search,2420,A,5
517,251630,2024-05-22 21:55:02,S8107810,purchase,277,Desktop,Paid Search,46,Profile,3227,A,3
522,557434,2023-10-17 13:04:03,S4514094,purchase,187,Tablet,Paid Search,4,Checkout,2400,A,5
523,619594,2024-08-31 12:20:59,S3010568,purchase,203,Mobile,Affiliate,11,Checkout,482,A,8
526,736248,2023-02-25 22:02:34,S6853625,purchase,7,Desktop,Affiliate,31,Search,1264,A,2
528,577732,2024-11-07 05:00:25,S5199146,purchase,297,Desktop,Direct,17,Home,2635,B,14
529,280440,2024-08-24 08:11:26,S4758921,purchase,194,Tablet,Paid Search,29,Checkout,1385,A,7
534,496202,2023-01-19 04:49:21,S8941169,purchase,106,Desktop,Email,42,Home,383,A,1
536,428436,2023-04-09 00:45:48,S9469879,purchase,241,Desktop,Paid Social,22,Checkout,1480,B,3
541,227000,2024-05-01 12:22:01,S1951888,purchase,171,Mobile,Paid Search,47,Profile,3325,B,10
547,427709,2024-08-28 05:03:58,S1800740,purchase,74,Mobile,Direct,20,Profile,1620,B,7
552,444801,2023-09-05 04:02:50,S2862708,purchase,500,Tablet,Email,46,Home,1211,B,3
556,249356,2023-12-05 19:43:42,S1185370,purchase,101,Desktop,Direct,19,Home,874,B,4
558,458819,2023-04-09 21:29:06,S3140405,purchase,337,Mobile,Paid Search,48,Home,3449,B,2
559,516077,2023-06-06 09:29:44,S4309904,purchase,95,Tablet,Email,4,Checkout,2098,A,1
560,120294,2023-10-18 17:26:10,S2624251,purchase,260,Desktop,Affiliate,12,Profile,567,B,3
563,410081,2024-07-19 09:46:53,S5030791,purchase,240,Desktop,Paid Social,31,Category,3273,A,5
564,798500,2023-10-05 11:38:26,S5008387,purchase,346,Mobile,Display,13,Search,821,A,5
567,449986,2023-09-03 08:39:07,S4951069,purchase,33,Mobile,Direct,18,Checkout,3160,B,2
573,454775,2023-01-15 03:19:52,S4074715,purchase,15,Desktop,Referrals,13,Profile,1638,B,1
579,337887,2024-02-27 13:14:14,S3530055,purchase,136,Tablet,Display,27,Home,3376,A,7
582,647688,2024-02-10 11:16:28,S4867285,purchase,452,Tablet,Direct,48,Search,3504,A,5
583,793542,2024-01-26 08:04:16,S2568838,purchase,394,Mobile,Display,7,Product,2167,B,6
587,317203,2023-03-12 09:12:36,S1432015,purchase,205,Desktop,Referrals,38,Cart,1982,A,1
591,769123,2023-05-15 04:05:09,S7388681,purchase,176,Desktop,Email,25,Product,2549,A,3
592,501376,2024-01-31 11:34:34,S8241768,purchase,216,Tablet,Display,45,Product,1105,B,3
594,761599,2023-09-14 17:13:35,S9042563,purchase,67,Desktop,Affiliate,3,Home,2840,B,2
598,463469,2023-07-13 22:17:56,S2290522,purchase,69,Desktop,Referrals,2,Profile,655,A,3
599,747431,2023-01-31 03:09:18,S5281474,purchase,460,Tablet,Affiliate,29,Home,547,A,2
600,603439,2023-08-12 20:52:09,S7967176,purchase,147,Desktop,Email,13,Home,1134,B,4
602,776374,2024-07-21 14:01:41,S9800345,purchase,19,Tablet,Display,11,Search,3049,A,7
603,783805,2024-10-23 00:56:45,S1310507,purchase,191,Tablet,Referrals,39,Category,2440,A,4
605,663152,2023-05-12 20:49:41,S5922003,purchase,311,Mobile,Paid Social,19,Home,2099,B,4
608,327519,2024-07-10 21:19:55,S3346016,purchase,370,Mobile,Paid Search,20,Cart,2588,A,7
611,617510,2023-09-28 01:46:08,S9942686,purchase,137,Mobile,Direct,14,Product,215,B,2
612,188046,2023-04-05 01:29:35,S5213216,purchase,204,Desktop,Email,23,Profile,2322,B,2
614,784632,2023-08-02 12:26:00,S7434187,purchase,155,Tablet,Referrals,24,Product,2910,A,3
615,80962,2023-08-08 17:16:46,S2881795,purchase,224,Mobile,Paid Social,12,Cart,320,B,4
616,601180,2023-01-01 17:03:57,S6103438,purchase,467,Tablet,Display,48,Search,1958,B,1
618,418529,2023-05-25 02:32:04,S8595578,purchase,148,Desktop,Display,13,Product,2235,B,2
621,753854,2024-02-08 13:04:31,S4402531,purchase,142,Mobile,Referrals,23,Cart,1204,A,6
623,762018,2023-02-20 12:42:10,S8879425,purchase,227,Desktop,Affiliate,16,Profile,1743,A,1
624,490069,2024-10-05 06:13:17,S1099945,purchase,205,Tablet,Direct,12,Category,593,A,6
628,747582,2023-07-25 15:50:02,S3227458,purchase,495,Tablet,Affiliate,48,Checkout,401,B,3
632,524006,2024-06-14 08:36:30,S8040085,purchase,472,Desktop,Paid Social,43,Product,1125,A,4
634,509393,2023-09-29 07:25:26,S9496693,purchase,424,Desktop,Display,36,Product,659,B,4
638,353191,2024-09-29 16:42:41,S4622846,purchase,176,Tablet,Email,5,Product,1198,B,2
639,243059,2023-01-19 20:45:52,S4895118,purchase,464,Desktop,Paid Search,17,Profile,1020,B,2
640,500492,2024-12-12 23:50:44,S8459307,purchase,93,Mobile,Email,11,Home,1067,A,11
651,115566,2023-11-04 18:17:27,S7217499,purchase,193,Desktop,Affiliate,13,Home,3121,B,4
653,239551,2023-08-12 20:46:37,S4238226,purchase,199,Mobile,Paid Social,28,Product,1905,B,3
655,694311,2024-01-30 14:38:37,S5247936,purchase,460,Desktop,Affiliate,25,Checkout,3462,A,6
658,226362,2023-04-21 01:05:40,S4970318,purchase,164,Desktop,Direct,41,Checkout,3513,B,1
660,328161,2024-04-23 04:24:18,S8010375,purchase,55,Mobile,Direct,19,Checkout,2687,A,3
662,30370,2024-02-14 07:48:15,S2078303,purchase,253,Desktop,Email,49,Checkout,1717,A,3
664,240351,2024-03-15 13:27:53,S1813007,purchase,14,Tablet,Paid Search,45,Product,2717,A,9
665,257156,2024-01-27 14:14:42,S9804906,purchase,39,Desktop,Email,38,Product,2825,B,7
669,177823,2023-02-25 01:22:14,S3674698,purchase,209,Mobile,Email,29,Category,1956,B,1
672,760665,2023-06-06 11:02:37,S5789092,purchase,230,Tablet,Email,38,Profile,1467,A,1
674,248949,2023-09-03 15:45:40,S2441560,purchase,416,Mobile,Direct,38,Product,1199,B,4
678,378056,2023-03-28 23:04:52,S3141395,purchase,310,Mobile,Referrals,48,Checkout,2665,B,3
684,756483,2024-10-12 12:38:13,S8244923,purchase,174,Mobile,Direct,33,Checkout,3411,B,11
687,59310,2023-08-03 07:01:28,S5292525,purchase,226,Tablet,Display,31,Cart,2598,A,3
690,409806,2023-12-20 20:13:10,S5975866,purchase,303,Mobile,Paid Social,28,Profile,3331,B,5
695,139227,2024-10-10 07:08:16,S8464814,purchase,438,Mobile,Paid Social,30,Profile,2928,B,6
696,723779,2024-03-12 14:11:47,S1206428,purchase,43,Desktop,Referrals,41,Cart,1301,B,2
697,500957,2023-01-28 15:43:10,S7027821,purchase,465,Mobile,Direct,21,Home,329,A,1
698,360880,2024-09-29 20:28:42,S1600382,purchase,144,Mobile,Paid Social,46,Profile,3116,B,10
705,335164,2023-10-28 17:27:18,S7442601,purchase,236,Tablet,Display,33,Checkout,2454,A,5
708,230188,2025-02-11 19:40:07,S7380237,purchase,56,Desktop,Direct,37,Search,2518,B,9
709,10966,2024-05-09 07:52:39,S7816336,purchase,304,Desktop,Paid Social,45,Checkout,951,A,8
710,26160,2023-05-30 13:08:17,S2989956,purchase,41,Desktop,Paid Search,40,Profile,1103,B,1
711,431624,2025-02-01 03:56:55,S3027327,purchase,309,Tablet,Affiliate,2,Cart,2673,B,9
713,41353,2023-08-28 04:37:44,S8768590,purchase,177,Mobile,Direct,42,Category,3132,B,3
714,432397,2025-02-16 06:05:23,S5363592,purchase,18,Desktop,Email,20,Product,421,A,6
716,622609,2025-02-25 23:36:58,S7077196,purchase,210,Mobile,Paid Search,47,Search,2474,A,9
717,229988,2023-05-09 13:54:34,S3368496,purchase,344,Mobile,Affiliate,34,Cart,1282,B,1
722,381101,2023-07-09 19:14:08,S3457771,purchase,214,Desktop,Paid Social,34,Category,2499,A,4
727,696506,2023-04-08 07:48:19,S7586579,purchase,271,Mobile,Email,32,Profile,1892,B,1
728,401813,2023-11-26 00:16:04,S5278310,purchase,31,Mobile,Paid Search,18,Category,1172,B,1
731,286061,2023-11-29 12:45:49,S2477333,purchase,84,Mobile,Display,48,Category,3198,A,3
733,423797,2025-02-23 17:57:14,S5835718,purchase,91,Tablet,Paid Social,35,Category,3001,A,7
736,265489,2023-07-26 09:25:28,S7042482,purchase,375,Desktop,Paid Search,38,Product,3524,A,1
738,18299,2024-07-26 04:54:33,S2505237,purchase,407,Mobile,Paid Social,49,Home,2372,B,4
739,56638,2024-07-08 06:41:26,S6592947,purchase,428,Mobile,Affiliate,43,Search,212,A,3
741,651459,2023-11-20 00:59:51,S5415714,purchase,399,Tablet,Direct,29,Product,1143,A,3
749,680099,2023-09-21 00:46:59,S7345757,purchase,115,Desktop,Direct,31,Checkout,3279,B,7
757,395915,2024-08-04 09:20:53,S2657966,purchase,94,Mobile,Affiliate,34,Category,60,B,8
760,661557,2023-07-10 08:45:39,S7758468,purchase,427,Mobile,Email,21,Search,487,B,3
765,507784,2023-05-26 15:46:32,S1749665,purchase,58,Mobile,Paid Search,28,Cart,723,B,5
766,706826,2023-05-01 01:59:18,S5103080,purchase,78,Tablet,Email,43,Cart,2281,A,2
769,686028,2023-05-16 18:59:23,S7089145,purchase,123,Tablet,Affiliate,7,Home,2122,B,1
772,670909,2024-07-05 12:42:33,S1022868,purchase,269,Tablet,Email,34,Search,10,B,4
773,266924,2023-10-16 02:39:39,S9414813,purchase,233,Desktop,Direct,40,Product,3109,B,5
782,295679,2023-04-16 11:47:00,S4145077,purchase,353,Tablet,Affiliate,36,Category,2979,A,1
783,6381,2024-09-29 19:18:54,S6212483,purchase,369,Mobile,Paid Search,48,Home,2362,B,7
784,58380,2025-02-12 04:51:16,S4458599,purchase,112,Tablet,Referrals,46,Category,2938,A,11
785,454129,2023-11-12 10:03:46,S5077767,purchase,8,Tablet,Direct,43,Search,1783,A,3
786,772238,2023-03-22 08:54:50,S1066183,purchase,101,Tablet,Email,39,Cart,1729,A,1
787,78212,2023-11-20 10:21:25,S1898290,purchase,130,Mobile,Paid Search,48,Product,3117,A,5
789,59647,2024-07-03 14:56:18,S6586238,purchase,4,Tablet,Display,8,Product,1405,A,2
790,504682,2024-08-04 12:09:41,S3430164,purchase,423,Mobile,Direct,6,Home,3051,B,7
792,448478,2023-11-19 15:39:08,S6951305,purchase,250,Tablet,Email,18,Search,526,A,4
793,674932,2023-02-06 20:42:55,S2358057,purchase,362,Desktop,Affiliate,40,Cart,2153,A,1
801,29303,2023-07-10 07:52:09,S8205869,purchase,170,Tablet,Paid Search,49,Product,3385,A,2
803,115703,2023-11-23 08:01:31,S3921187,purchase,268,Tablet,Referrals,47,Home,3194,B,4
814,120351,2023-03-06 15:25:17,S7709146,purchase,352,Tablet,Paid Social,35,Profile,2786,B,4
817,510147,2024-11-25 07:54:16,S4924382,purchase,84,Desktop,Paid Search,26,Product,905,A,6
820,449899,2023-12-29 19:55:19,S1276012,purchase,261,Mobile,Display,24,Home,2687,A,6
829,746634,2023-09-17 02:40:02,S5037832,purchase,55,Tablet,Email,44,Category,451,B,1
832,346056,2023-05-31 01:17:22,S9090333,purchase,1,Mobile,Paid Social,17,Home,2206,B,3
836,55704,2023-12-09 14:24:56,S5288347,purchase,279,Desktop,Paid Search,29,Cart,326,A,4
843,59872,2024-04-19 13:17:58,S6741593,purchase,481,Desktop,Affiliate,13,Home,2621,A,4
