transaction_id,customer_id,event_id,campaign_id,traffic_source,touchpoint_time,conversion_time,gross_revenue,total_touchpoints,attribution_weight,attributed_revenue
25,17574,1813089,42,Email,2021-08-10 07:59:41,2021-11-03 06:20:33,178.05,3,0.3333,59.35
27,36945,1990772,21,Paid Search,2022-08-02 21:47:07,2023-09-03 12:48:57,84.8,3,0.3333,28.27
27,36945,274453,0,Organic,2023-04-27 15:39:52,2023-09-03 12:48:57,84.8,3,0.3333,28.27
27,36945,1025493,23,SOCIAL,2023-08-20 14:51:59,2023-09-03 12:48:57,84.8,3,0.3333,28.27
28,91979,626244,0,Organic,2021-02-19 02:40:31,2022-05-16 14:05:23,12.06,2,0.5,6.03
28,91979,1394841,0,Direct,2022-01-05 09:30:12,2022-05-16 14:05:23,12.06,2,0.5,6.03
29,2530,61596,24,Social,2021-03-24 16:22:13,2022-08-13 07:29:18,12.55,1,1.0,12.55
30,25399,338914,30,Social,2021-02-06 22:16:28,2021-09-19 16:44:49,12.25,1,1.0,12.25
31,5903,1002227,24,PAID SEARCH,2021-05-06 16:24:22,2022-01-17 13:07:07,26.79,4,0.25,6.7
31,5903,718474,0,Organic,2021-05-27 19:22:18,2022-01-17 13:07:07,26.79,4,0.25,6.7
31,5903,602955,34,Email,2021-06-21 16:27:43,2022-01-17 13:07:07,26.79,4,0.25,6.7
31,5903,1807421,17,Social,2022-01-09 00:06:13,2022-01-17 13:07:07,26.79,4,0.25,6.7
33,81409,849434,0,Direct,2021-01-14 12:26:32,2022-09-27 17:48:03,27.33,2,0.5,13.66
33,81409,357647,0,Organic,2022-04-05 18:29:35,2022-09-27 17:48:03,27.33,2,0.5,13.66
34,81957,1384238,30,Email,2021-04-22 08:57:09,2021-05-07 04:07:36,45.88,1,1.0,45.88
35,16728,312426,49,Email,2021-08-09 05:47:53,2022-12-27 22:28:40,104.11,2,0.5,52.05
35,16728,425878,0,Organic,2022-02-21 17:27:47,2022-12-27 22:28:40,104.11,2,0.5,52.05
36,2322,56055,0,Organic,2021-05-06 19:40:07,2022-10-04 07:05:23,59.99,1,1.0,59.99
37,82265,1994658,8,Email,2021-04-12 18:49:48,2023-11-28 21:37:40,124.12,5,0.2,24.82
37,82265,1706188,31,Paid Search,2021-05-09 10:24:30,2023-11-28 21:37:40,124.12,5,0.2,24.82
37,82265,1108384,0,Organic,2022-01-31 07:54:08,2023-11-28 21:37:40,124.12,5,0.2,24.82
37,82265,1037636,19,Social,2022-09-23 19:30:05,2023-11-28 21:37:40,124.12,5,0.2,24.82
37,82265,1075775,7,Social,2022-10-04 17:49:50,2023-11-28 21:37:40,124.12,5,0.2,24.82
38,6301,1534018,0,Organic,2022-11-18 22:13:34,2023-09-07 05:51:38,67.9,1,1.0,67.9
41,83860,1317426,0,Organic,2022-03-18 18:50:30,2022-12-02 15:37:48,14.64,1,1.0,14.64
42,69804,1039990,0,Direct,2021-03-28 03:09:10,2023-04-28 08:34:15,197.45,2,0.5,98.72
42,69804,1543115,0,Direct,2022-05-29 11:25:31,2023-04-28 08:34:15,197.45,2,0.5,98.72
43,90703,925845,0,Organic,2021-04-03 20:46:17,2021-09-05 18:58:52,51.09,1,1.0,51.09
45,64997,74979,0,Organic,2021-04-20 00:36:30,2023-12-04 20:24:53,55.97,2,0.5,27.98
45,64997,263324,0,Organic,2023-09-28 13:17:41,2023-12-04 20:24:53,55.97,2,0.5,27.98
46,70071,1172347,48,Email,2021-12-12 21:10:13,2022-05-17 18:28:51,60.0,1,1.0,60.0
49,29815,1566054,0,ORGANIC,2023-12-21 01:26:33,2023-12-23 07:08:09,79.4,1,1.0,79.4
50,38085,341773,0,Organic,2021-04-15 15:24:13,2021-11-11 20:27:59,146.29,2,0.5,73.14
50,38085,229962,46,EMAIL,2021-11-03 12:37:06,2021-11-11 20:27:59,146.29,2,0.5,73.14
51,88270,784880,0,Organic,2021-07-19 14:01:20,2022-09-21 14:44:47,71.52,2,0.5,35.76
51,88270,160796,0,Organic,2021-09-04 14:09:51,2022-09-21 14:44:47,71.52,2,0.5,35.76
52,88590,835494,32,Social,2022-10-02 20:04:39,2023-08-06 15:34:55,41.36,1,1.0,41.36
55,26849,400581,0,Organic,2021-08-09 12:32:21,2022-05-23 10:01:59,63.61,1,1.0,63.61
57,12129,704827,26,Email,2021-01-07 15:20:05,2023-07-24 18:14:07,10.81,3,0.3333,3.6
57,12129,1669423,0,Organic,2021-03-24 07:49:38,2023-07-24 18:14:07,10.81,3,0.3333,3.6
57,12129,1686983,5,Social,2021-12-16 01:44:11,2023-07-24 18:14:07,10.81,3,0.3333,3.6
60,69136,1304059,0,Organic,2021-12-02 09:31:09,2022-03-04 23:55:09,22.72,2,0.5,11.36
60,69136,1939204,0,Organic,2021-12-07 02:26:17,2022-03-04 23:55:09,22.72,2,0.5,11.36
61,51876,1485996,6,Paid Search,2021-02-08 16:37:39,2021-05-28 03:50:44,71.1,1,1.0,71.1
62,89622,710191,0,Organic,2021-02-03 12:08:31,2021-10-26 11:12:25,57.32,1,1.0,57.32
63,96081,675881,24,Social,2021-02-23 09:15:44,2022-12-23 12:38:44,84.38,5,0.2,16.88
63,96081,1127546,0,Direct,2021-07-28 06:11:13,2022-12-23 12:38:44,84.38,5,0.2,16.88
63,96081,807204,21,SOCIAL,2021-11-25 10:55:28,2022-12-23 12:38:44,84.38,5,0.2,16.88
63,96081,1333231,1,Email,2022-01-29 03:36:20,2022-12-23 12:38:44,84.38,5,0.2,16.88
63,96081,218100,0,Organic,2022-02-26 15:01:44,2022-12-23 12:38:44,84.38,5,0.2,16.88
64,48071,1790046,27,Social,2021-04-05 21:33:18,2021-09-28 17:12:29,44.57,1,1.0,44.57
65,24473,1204864,47,Email,2022-03-19 14:51:18,2023-03-06 20:03:17,8.02,1,1.0,8.02
67,42861,1440352,40,Email,2022-08-18 05:24:23,2022-09-01 14:54:26,60.06,2,0.5,30.03
67,42861,1456095,37,Social,2022-08-24 16:22:11,2022-09-01 14:54:26,60.06,2,0.5,30.03
68,28452,1599759,26,Email,2021-10-02 06:29:53,2022-03-25 17:32:28,60.2,2,0.5,30.1
68,28452,691471,29,Paid Search,2022-03-24 05:41:10,2022-03-25 17:32:28,60.2,2,0.5,30.1
70,73328,1679370,0,Organic,2021-05-15 11:58:29,2022-07-08 15:55:28,97.21,2,0.5,48.6
70,73328,893793,28,Paid Search,2021-05-25 18:53:12,2022-07-08 15:55:28,97.21,2,0.5,48.6
72,49399,253993,0,Organic,2021-02-28 16:16:31,2023-04-24 06:26:05,10.13,3,0.3333,3.38
72,49399,902795,0,Organic,2022-05-11 17:55:28,2023-04-24 06:26:05,10.13,3,0.3333,3.38
72,49399,684781,0,Organic,2022-07-14 14:07:25,2023-04-24 06:26:05,10.13,3,0.3333,3.38
73,45874,1674569,24,Email,2022-01-14 12:50:07,2022-08-31 07:06:03,10.09,2,0.5,5.04
73,45874,1997818,14,Email,2022-03-22 01:26:11,2022-08-31 07:06:03,10.09,2,0.5,5.04
74,42309,526700,33,Social,2021-09-12 21:29:47,2021-12-19 01:50:41,125.93,1,1.0,125.93
75,68810,728473,0,Organic,2021-08-15 20:44:16,2023-04-23 05:16:43,137.36,3,0.3333,45.79
75,68810,1431100,23,Social,2022-02-10 13:22:14,2023-04-23 05:16:43,137.36,3,0.3333,45.79
75,68810,108126,15,Email,2022-09-09 23:28:24,2023-04-23 05:16:43,137.36,3,0.3333,45.79
77,79934,1542081,0,Direct,2021-01-18 06:07:09,2023-08-06 13:53:27,64.71,2,0.5,32.35
77,79934,1374494,0,Organic,2021-03-10 02:37:16,2023-08-06 13:53:27,64.71,2,0.5,32.35
79,74249,57148,24,Social,2021-03-27 15:46:18,2022-01-19 22:58:12,64.07,1,1.0,64.07
80,56933,1937454,40,Social,2022-09-04 07:24:40,2023-04-16 18:29:50,97.87,1,1.0,97.87
82,7319,1084478,0,Organic,2021-05-17 18:27:38,2022-06-01 22:05:22,53.46,1,1.0,53.46
83,99840,1355489,42,Paid Search,2021-07-09 15:14:59,2021-09-16 20:30:16,81.48,1,1.0,81.48
84,14316,1857023,35,Paid Search,2021-02-03 16:32:48,2021-08-18 07:33:26,57.32,1,1.0,57.32
85,25867,463912,31,Email,2021-01-11 20:16:51,2021-01-15 12:43:09,132.75,1,1.0,132.75
90,92375,1916119,0,Organic,2021-07-18 09:43:09,2021-08-07 19:36:40,52.91,1,1.0,52.91
91,77759,1339948,9,Social,2021-05-11 18:21:35,2021-12-12 13:07:35,116.8,3,0.3333,38.93
91,77759,1018177,35,Email,2021-05-19 22:19:03,2021-12-12 13:07:35,116.8,3,0.3333,38.93
91,77759,20653,0,Organic,2021-05-22 18:28:41,2021-12-12 13:07:35,116.8,3,0.3333,38.93
92,69456,1457953,21,Email,2021-03-08 11:14:22,2022-08-31 06:02:02,544.88,1,1.0,544.88
93,43834,1650749,27,Email,2021-05-06 06:35:46,2023-08-05 09:27:43,45.75,4,0.25,11.44
93,43834,1188315,23,Paid Search,2021-12-31 06:00:59,2023-08-05 09:27:43,45.75,4,0.25,11.44
93,43834,176691,0,Organic,2022-04-08 18:48:13,2023-08-05 09:27:43,45.75,4,0.25,11.44
93,43834,1227911,0,Organic,2023-01-30 17:24:31,2023-08-05 09:27:43,45.75,4,0.25,11.44
94,43424,1067095,17,Email,2021-09-17 18:02:49,2023-05-24 06:31:42,20.74,6,0.1667,3.46
94,43424,365641,0,Organic,2021-11-22 18:48:34,2023-05-24 06:31:42,20.74,6,0.1667,3.46
94,43424,76123,0,Organic,2022-05-20 19:18:03,2023-05-24 06:31:42,20.74,6,0.1667,3.46
94,43424,626261,35,Paid Search,2022-09-18 08:46:45,2023-05-24 06:31:42,20.74,6,0.1667,3.46
94,43424,1627387,0,Organic,2022-11-17 08:56:37,2023-05-24 06:31:42,20.74,6,0.1667,3.46
94,43424,351118,0,Organic,2023-01-15 23:01:03,2023-05-24 06:31:42,20.74,6,0.1667,3.46
98,1885,507893,0,Organic,2021-01-29 07:15:27,2021-12-10 05:38:40,347.82,2,0.5,173.91
98,1885,428736,0,Organic,2021-12-02 07:38:04,2021-12-10 05:38:40,347.82,2,0.5,173.91
101,55614,276657,6,Paid Search,2021-06-28 09:48:50,2023-01-21 07:15:42,124.26,2,0.5,62.13
101,55614,846392,0,Organic,2021-07-19 00:06:59,2023-01-21 07:15:42,124.26,2,0.5,62.13
103,50598,816911,7,Paid Search,2021-12-13 23:23:18,2022-03-27 04:22:21,23.91,1,1.0,23.91
104,6832,1143277,0,Organic,2021-05-11 09:53:04,2021-09-26 07:26:48,61.06,2,0.5,30.53
104,6832,1223355,0,Organic,2021-07-28 07:57:14,2021-09-26 07:26:48,61.06,2,0.5,30.53
105,43544,385359,0,Organic,2021-03-14 11:55:54,2021-07-11 07:02:03,56.48,1,1.0,56.48
108,60635,1486306,37,Paid Search,2021-01-20 18:19:30,2022-07-04 07:29:16,537.48,1,1.0,537.48
112,41424,583200,0,Organic,2023-01-16 17:31:15,2023-12-31 15:59:39,42.74,1,1.0,42.74
119,70728,1068725,37,Email,2021-03-08 04:04:12,2023-08-06 12:40:39,50.23,2,0.5,25.11
119,70728,615894,31,Social,2023-06-01 22:41:28,2023-08-06 12:40:39,50.23,2,0.5,25.11
123,70122,1705121,0,Direct,2021-07-24 18:27:07,2022-05-26 16:44:18,54.57,2,0.5,27.29
123,70122,1412247,45,Paid Search,2022-01-21 08:24:59,2022-05-26 16:44:18,54.57,2,0.5,27.29
124,17572,482793,41,Paid Search,2022-12-31 11:29:53,2023-01-15 20:05:09,77.48,1,1.0,77.48
125,46053,1170701,0,Direct,2021-09-25 20:55:44,2022-07-01 09:26:38,57.3,1,1.0,57.3
127,5711,669985,4,Social,2022-03-21 21:03:37,2023-05-17 01:47:09,14.5,3,0.3333,4.83
127,5711,1918726,35,Email,2022-06-25 11:57:21,2023-05-17 01:47:09,14.5,3,0.3333,4.83
127,5711,865503,0,Organic,2023-02-20 10:24:53,2023-05-17 01:47:09,14.5,3,0.3333,4.83
128,31683,324483,13,Email,2021-06-25 20:59:20,2021-10-17 16:47:13,268.11,2,0.5,134.06
128,31683,1493752,49,Email,2021-06-28 04:09:08,2021-10-17 16:47:13,268.11,2,0.5,134.06
133,24828,916167,14,Social,2021-01-01 08:30:51,2022-07-10 06:37:58,75.62,3,0.3333,25.21
133,24828,485306,0,Organic,2021-06-05 13:38:32,2022-07-10 06:37:58,75.62,3,0.3333,25.21
133,24828,909798,27,Paid Search,2022-03-31 06:53:23,2022-07-10 06:37:58,75.62,3,0.3333,25.21
135,39611,97052,0,Organic,2021-08-22 02:39:32,2022-11-20 09:29:50,35.63,3,0.3333,11.88
135,39611,1727330,0,Organic,2022-05-04 18:21:56,2022-11-20 09:29:50,35.63,3,0.3333,11.88
135,39611,67505,0,Organic,2022-09-22 20:32:31,2022-11-20 09:29:50,35.63,3,0.3333,11.88
136,88196,1128697,0,Organic,2022-04-18 16:15:04,2022-11-13 06:43:13,504.66,1,1.0,504.66
139,16830,1321235,0,Organic,2021-06-17 17:25:05,2022-05-26 08:35:45,49.38,1,1.0,49.38
141,51594,1543198,38,Social,2021-05-02 00:58:25,2022-04-19 07:01:30,95.62,1,1.0,95.62
143,74278,1757642,38,Social,2022-04-20 14:22:37,2023-07-18 08:08:14,65.12,3,0.3333,21.71
143,74278,1355707,0,Organic,2022-12-18 21:32:18,2023-07-18 08:08:14,65.12,3,0.3333,21.71
143,74278,12943,45,Paid Search,2023-03-26 07:55:22,2023-07-18 08:08:14,65.12,3,0.3333,21.71
146,78138,544559,22,Email,2022-04-29 16:25:38,2023-05-03 08:30:23,10.13,1,1.0,10.13
147,17886,1189939,0,Organic,2021-06-24 01:07:21,2021-09-10 09:33:32,14.72,1,1.0,14.72
148,92546,614743,0,Organic,2022-06-23 15:30:12,2023-03-21 11:05:57,46.27,2,0.5,23.14
148,92546,1037337,0,Organic,2022-10-29 20:31:27,2023-03-21 11:05:57,46.27,2,0.5,23.14
149,64732,957027,0,Organic,2022-08-17 13:51:15,2023-07-04 07:00:08,132.2,1,1.0,132.2
150,16862,1121475,34,Paid Search,2021-04-14 19:49:50,2022-12-19 16:03:21,78.62,1,1.0,78.62
151,60049,1987319,35,Social,2021-05-02 06:24:49,2022-06-03 16:34:34,40.17,1,1.0,40.17
152,69024,707445,22,Paid Search,2021-02-14 20:41:01,2022-03-28 02:12:28,116.42,1,1.0,116.42
155,90642,539864,0,Organic,2021-09-04 13:05:54,2022-08-16 03:39:39,14.98,1,1.0,14.98
158,78769,1039884,20,Email,2022-02-16 10:45:47,2023-10-13 10:54:21,99.89,1,1.0,99.89
161,32600,525500,48,Paid Search,2021-09-26 20:52:22,2023-10-29 17:55:27,138.05,1,1.0,138.05
162,90918,552026,2,Paid Search,2021-01-11 19:31:14,2022-02-21 05:38:30,136.97,1,1.0,136.97
165,8392,1376716,44,Paid Search,2021-02-19 17:47:25,2021-04-01 23:05:41,144.55,2,0.5,72.28
165,8392,1010261,46,Paid Search,2021-03-30 23:01:39,2021-04-01 23:05:41,144.55,2,0.5,72.28
168,14983,540945,26,Social,2021-06-10 07:04:37,2023-11-20 15:39:55,89.69,4,0.25,22.42
168,14983,573729,13,Paid Search,2021-12-04 17:35:34,2023-11-20 15:39:55,89.69,4,0.25,22.42
168,14983,1352208,0,Organic,2022-01-09 23:08:02,2023-11-20 15:39:55,89.69,4,0.25,22.42
168,14983,1353680,0,Organic,2022-01-28 04:25:56,2023-11-20 15:39:55,89.69,4,0.25,22.42
174,12271,724403,33,Social,2021-03-13 23:17:13,2022-11-03 17:38:42,55.08,4,0.25,13.77
174,12271,1300153,0,Organic,2021-07-04 13:50:20,2022-11-03 17:38:42,55.08,4,0.25,13.77
174,12271,134919,0,Organic,2021-11-13 12:15:13,2022-11-03 17:38:42,55.08,4,0.25,13.77
174,12271,1913477,0,Organic,2022-03-08 16:21:32,2022-11-03 17:38:42,55.08,4,0.25,13.77
175,58619,1028835,0,Organic,2021-01-19 13:24:59,2023-08-15 17:45:58,14.64,5,0.2,2.93
175,58619,929982,0,Direct,2021-03-06 07:29:52,2023-08-15 17:45:58,14.64,5,0.2,2.93
175,58619,94680,35,Social,2021-08-08 18:43:08,2023-08-15 17:45:58,14.64,5,0.2,2.93
175,58619,41943,0,Organic,2022-02-06 19:13:25,2023-08-15 17:45:58,14.64,5,0.2,2.93
175,58619,255092,35,Social,2022-04-02 06:39:42,2023-08-15 17:45:58,14.64,5,0.2,2.93
181,86612,869273,0,Organic,2022-01-17 12:23:45,2022-05-30 07:45:59,79.92,1,1.0,79.92
183,54814,855880,44,Paid Search,2022-01-31 03:45:14,2023-08-27 17:20:06,41.18,3,0.3333,13.73
183,54814,1621027,6,Social,2022-12-16 20:49:51,2023-08-27 17:20:06,41.18,3,0.3333,13.73
183,54814,1747322,2,Social,2023-03-05 13:10:12,2023-08-27 17:20:06,41.18,3,0.3333,13.73
184,26365,1924995,0,Organic,2021-07-15 04:48:22,2022-12-01 07:30:01,159.24,1,1.0,159.24
186,58727,643260,0,Organic,2021-02-23 21:07:13,2021-12-19 22:26:39,12.2,2,0.5,6.1
186,58727,76294,0,Organic,2021-11-21 06:39:40,2021-12-19 22:26:39,12.2,2,0.5,6.1
187,84870,486955,0,Organic,2021-04-23 14:14:43,2021-12-21 06:37:38,102.66,1,1.0,102.66
188,71378,1867841,0,Organic,2021-08-04 21:36:48,2023-06-16 03:52:57,77.5,1,1.0,77.5
189,28535,1614616,0,Organic,2021-06-25 06:36:49,2021-10-29 05:57:56,18.51,1,1.0,18.51
194,56689,985070,0,Direct,2021-09-27 07:25:40,2023-12-17 05:25:46,38.78,2,0.5,19.39
194,56689,1613707,35,Social,2022-02-25 22:57:54,2023-12-17 05:25:46,38.78,2,0.5,19.39
195,84816,1204664,0,ORGANIC,2021-01-21 16:48:14,2022-12-25 18:51:26,85.6,3,0.3333,28.53
195,84816,966593,5,Paid Search,2022-08-27 18:58:33,2022-12-25 18:51:26,85.6,3,0.3333,28.53
195,84816,449177,0,Organic,2022-11-15 18:40:46,2022-12-25 18:51:26,85.6,3,0.3333,28.53
198,30757,1106365,0,Organic,2021-12-24 20:54:35,2023-02-26 16:55:09,52.33,1,1.0,52.33
201,3555,511144,35,Paid Search,2022-03-07 01:08:04,2023-01-26 23:00:48,30.48,1,1.0,30.48
202,11694,303397,0,Organic,2023-01-21 11:35:12,2023-09-14 05:50:19,32.22,1,1.0,32.22
205,73315,490250,0,Organic,2021-06-24 10:44:11,2023-09-02 21:48:02,23.73,2,0.5,11.87
205,73315,1149318,35,Email,2021-11-27 22:12:42,2023-09-02 21:48:02,23.73,2,0.5,11.87
206,35206,1435204,0,Organic,2021-05-26 19:38:43,2021-12-20 06:19:38,49.26,1,1.0,49.26
208,89899,1852201,0,Organic,2021-05-15 20:34:39,2021-05-16 19:38:39,503.77,1,1.0,503.77
210,92014,312051,40,Paid Search,2021-06-24 01:33:30,2022-11-15 17:48:45,62.15,1,1.0,62.15
211,50618,1353020,34,Paid Search,2021-01-12 03:38:42,2021-10-08 21:41:49,161.21,1,1.0,161.21
212,55786,617914,7,Social,2021-02-20 03:58:17,2022-07-18 02:00:35,36.53,2,0.5,18.27
212,55786,1479066,4,Social,2021-05-02 14:49:43,2022-07-18 02:00:35,36.53,2,0.5,18.27
214,54499,1317733,0,Organic,2023-01-15 07:50:26,2023-04-26 09:27:06,25.53,1,1.0,25.53
217,66259,1336855,40,Email,2021-11-03 20:36:50,2022-11-21 19:57:19,131.9,3,0.3333,43.97
217,66259,112227,23,Email,2022-03-21 11:25:32,2022-11-21 19:57:19,131.9,3,0.3333,43.97
217,66259,1079036,0,Organic,2022-05-27 20:21:33,2022-11-21 19:57:19,131.9,3,0.3333,43.97
222,93128,469432,0,Direct,2021-07-15 10:42:32,2021-12-21 14:07:52,49.62,1,1.0,49.62
223,19294,1099760,37,Paid Search,2022-01-06 09:33:54,2022-12-18 19:05:56,262.88,3,0.3333,87.63
223,19294,652955,0,Organic,2022-04-19 06:09:58,2022-12-18 19:05:56,262.88,3,0.3333,87.63
223,19294,616556,39,Email,2022-09-03 07:50:38,2022-12-18 19:05:56,262.88,3,0.3333,87.63
224,43331,38888,48,Social,2021-06-28 19:00:22,2022-01-15 03:15:30,47.0,2,0.5,23.5
224,43331,999482,48,Email,2021-11-30 14:18:42,2022-01-15 03:15:30,47.0,2,0.5,23.5
231,23133,377938,0,Organic,2021-01-07 13:22:22,2023-10-30 21:48:01,50.01,2,0.5,25.0
231,23133,1464297,0,Organic,2022-09-22 09:39:40,2023-10-30 21:48:01,50.01,2,0.5,25.0
232,50419,323241,10,Social,2021-01-11 12:47:06,2021-11-09 20:19:50,53.17,3,0.3333,17.72
232,50419,1677148,14,Email,2021-03-30 02:51:45,2021-11-09 20:19:50,53.17,3,0.3333,17.72
232,50419,1094077,0,Organic,2021-03-30 17:44:12,2021-11-09 20:19:50,53.17,3,0.3333,17.72
233,57173,1772339,0,Organic,2021-03-14 18:45:03,2022-09-15 16:38:40,61.98,3,0.3333,20.66
233,57173,67002,44,Social,2021-05-04 20:15:26,2022-09-15 16:38:40,61.98,3,0.3333,20.66
233,57173,192234,0,Organic,2021-12-29 17:54:02,2022-09-15 16:38:40,61.98,3,0.3333,20.66
234,45663,991996,11,Email,2022-08-15 07:58:13,2022-10-06 01:08:44,212.92,1,1.0,212.92
236,35675,1814201,28,Email,2021-08-07 12:52:25,2023-06-25 21:31:37,56.9,1,1.0,56.9
237,45652,472766,0,Organic,2021-10-09 14:02:03,2023-05-27 13:39:46,114.1,2,0.5,57.05
237,45652,654482,37,Social,2022-02-09 20:51:40,2023-05-27 13:39:46,114.1,2,0.5,57.05
238,23994,1823777,11,Paid Search,2021-01-21 14:10:28,2023-11-07 05:30:04,41.7,1,1.0,41.7
239,54750,1229622,42,Paid Search,2021-07-11 09:10:02,2023-05-13 08:56:57,36.56,3,0.3333,12.19
239,54750,105339,0,Organic,2022-05-06 22:30:03,2023-05-13 08:56:57,36.56,3,0.3333,12.19
239,54750,760686,25,Email,2023-02-08 10:50:22,2023-05-13 08:56:57,36.56,3,0.3333,12.19
242,32988,477684,0,Organic,2021-01-19 06:12:35,2023-12-17 08:06:23,20.27,4,0.25,5.07
242,32988,790913,0,Organic,2021-06-03 16:39:01,2023-12-17 08:06:23,20.27,4,0.25,5.07
242,32988,1421173,17,Email,2023-03-17 15:53:23,2023-12-17 08:06:23,20.27,4,0.25,5.07
242,32988,818876,0,Organic,2023-11-16 12:09:18,2023-12-17 08:06:23,20.27,4,0.25,5.07
245,69017,158804,36,Paid Search,2022-11-08 13:27:15,2023-04-05 18:29:37,110.0,2,0.5,55.0
245,69017,1884068,2,Email,2023-03-29 13:27:23,2023-04-05 18:29:37,110.0,2,0.5,55.0
246,47701,958238,21,Social,2021-04-30 01:29:21,2022-01-31 22:55:34,257.04,1,1.0,257.04
247,44037,78020,4,Email,2022-02-03 06:19:13,2022-04-23 20:40:41,27.12,2,0.5,13.56
247,44037,1439190,6,Paid Search,2022-02-21 20:09:00,2022-04-23 20:40:41,27.12,2,0.5,13.56
253,93428,154641,0,Organic,2022-05-17 14:45:32,2023-01-01 15:13:12,8.29,2,0.5,4.14
253,93428,251448,0,Organic,2022-10-03 17:43:02,2023-01-01 15:13:12,8.29,2,0.5,4.14
255,36746,1998435,15,Paid Search,2021-01-24 07:00:54,2022-12-21 02:28:27,136.26,1,1.0,136.26
257,75228,343540,38,Social,2021-09-01 21:41:33,2022-01-08 16:15:14,133.04,1,1.0,133.04
259,28411,465732,0,Direct,2022-11-26 22:15:27,2023-07-25 22:37:56,36.89,2,0.5,18.45
259,28411,1635127,0,Organic,2023-01-03 04:40:06,2023-07-25 22:37:56,36.89,2,0.5,18.45
260,7643,1872673,38,Social,2021-02-22 20:38:35,2023-04-23 17:44:24,40.61,2,0.5,20.3
260,7643,546489,15,Email,2021-12-06 18:48:15,2023-04-23 17:44:24,40.61,2,0.5,20.3
266,90080,768523,40,Social,2021-08-13 17:43:50,2022-09-07 05:43:05,54.35,2,0.5,27.18
266,90080,1711825,0,Organic,2021-09-28 04:53:21,2022-09-07 05:43:05,54.35,2,0.5,27.18
268,80844,698561,0,Organic,2021-06-04 06:47:34,2022-01-21 06:59:20,82.6,1,1.0,82.6
269,23296,495996,0,Organic,2021-02-02 06:25:56,2023-04-21 17:53:24,11.95,4,0.25,2.99
269,23296,1232205,0,Organic,2021-08-31 15:03:35,2023-04-21 17:53:24,11.95,4,0.25,2.99
269,23296,1002368,5,Paid Search,2021-11-02 03:03:44,2023-04-21 17:53:24,11.95,4,0.25,2.99
269,23296,122923,0,Organic,2021-12-11 19:14:08,2023-04-21 17:53:24,11.95,4,0.25,2.99
270,13520,1552255,49,Paid Search,2022-03-30 19:20:41,2023-07-05 16:33:36,86.75,1,1.0,86.75
271,36358,853515,16,Paid Search,2021-03-28 01:02:36,2022-01-02 14:36:34,86.95,1,1.0,86.95
275,30396,1209752,0,Organic,2021-06-16 11:12:49,2023-12-05 05:12:35,165.18,3,0.3333,55.06
275,30396,886261,25,Paid Search,2022-08-28 04:19:50,2023-12-05 05:12:35,165.18,3,0.3333,55.06
275,30396,1722327,0,Organic,2022-09-12 18:04:42,2023-12-05 05:12:35,165.18,3,0.3333,55.06
276,61024,934758,6,Social,2021-05-21 17:49:12,2021-05-30 06:30:26,95.42,1,1.0,95.42
277,57639,1611990,0,Organic,2022-01-22 15:47:07,2022-02-17 07:39:35,14.01,1,1.0,14.01
278,95144,1573557,0,Organic,2021-05-08 10:04:55,2022-02-17 20:23:27,33.22,1,1.0,33.22
280,16009,1438888,0,Direct,2021-08-29 02:07:44,2023-12-02 05:49:56,158.25,2,0.5,79.13
280,16009,1594602,0,Organic,2021-12-23 03:30:06,2023-12-02 05:49:56,158.25,2,0.5,79.13
